manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Jomox,Alpha Base,Kick Drum,Tune,Intensity of initial pitch sweep envelope for the kick,100,,0,127,,,,,,,0-based,Channel 1,0~127: Pitch sweep amount
Jomox,Alpha Base,Kick Drum,Pitch,Base oscillator frequency of the kick,101,,0,127,,,,,,,0-based,Channel 1,0~127: Base pitch
Jomox,Alpha Base,Kick Drum,Decay,Length of the kick tail,102,,0,127,,,,,,,0-based,Channel 1,0~127: Decay time
Jomox,Alpha Base,Kick Drum,Harmonics,Shapes sine toward more harmonic content,103,,0,127,,,,,,,0-based,Channel 1,0~127: Harmonic shaping
Jomox,Alpha Base,Kick Drum,Pulse,Level of the click pulse in the attack,104,,0,127,,,,,,,0-based,Channel 1,0~127: Pulse attack level
Jomox,Alpha Base,Kick Drum,Noise,Level of noise in the attack,105,,0,127,,,,,,,0-based,Channel 1,0~127: Noise attack level
Jomox,Alpha Base,Kick Drum,Attack,Scales the mixed pulse and noise attack,106,,0,127,,,,,,,0-based,Channel 1,0~127: Attack mix depth
Jomox,Alpha Base,Kick Drum,EQ,Gentle output EQ filter intensity,107,,0,127,,,,,,,0-based,Channel 1,0~127: Output EQ amount
Jomox,Alpha Base,Kick Drum,Compression,Compression shaping of decay loudness,113,,0,127,,,,,,,0-based,Channel 1,0~127: Decay envelope compression
Jomox,Alpha Base,Kick Drum,Gate Time,Gate length for the analog trigger circuit,114,,0,127,,,,,,,0-based,Channel 1,0~127: Trigger gate length
Jomox,Alpha Base,Kick Drum,Metallic Noise,Selects metallic noise patterns,115,,0,127,,,,,,,0-based,Channel 1,0~127: Metallic noise mode
Jomox,Alpha Base,Kick Drum,LFO Wave,Selects the LFO waveform,119,,0,63,,,,,,,0-based,Channel 1,0~63: LFO waveform select
Jomox,Alpha Base,Kick Drum,LFO Intensity,Amount of LFO modulation applied,121,,0,127,,,,,,,0-based,Channel 1,0~127: LFO depth
Jomox,Alpha Base,Kick Drum,LFO Rate,LFO speed,122,,0,127,,,,,,,0-based,Channel 1,0~127: LFO speed
Jomox,Alpha Base,Kick Drum,Envelope Attack,Attack time of the modulation envelope,90,,0,127,,,,,,,0-based,Channel 1,0~127: Envelope attack time
Jomox,Alpha Base,Kick Drum,Envelope Decay,Decay time of the modulation envelope,91,,0,127,,,,,,,0-based,Channel 1,0~127: Envelope decay time
Jomox,Alpha Base,Kick Drum,Envelope Amount,Amount of modulation envelope applied,116,,0,127,,,,,,,0-based,Channel 1,0~127: Envelope depth
Jomox,Alpha Base,Kick Drum,Select Instrument for Multi Kit,Selects the instrument slot for a multi kit,64,,0,127,,,,,,,0-based,Channel 1,0~127: Instrument select
Jomox,Alpha Base,Kick Drum,Volume,Instrument output level,7,,0,127,,,,,,,0-based,Channel 1,0~127: Output level
Jomox,Alpha Base,MBrane,Pitch 1,Pitch of resonator 1,108,,0,127,,,,,,,0-based,Channel 2,0~127: Resonator 1 pitch
Jomox,Alpha Base,MBrane,Dampen 1,Damping of resonator 1,93,,0,127,,,,,,,0-based,Channel 2,0~127: Resonator 1 damping
Jomox,Alpha Base,MBrane,Pitch 2,Pitch of resonator 2,111,,0,127,,,,,,,0-based,Channel 2,0~127: Resonator 2 pitch
Jomox,Alpha Base,MBrane,Dampen 2,Damping of resonator 2,97,,0,127,,,,,,,0-based,Channel 2,0~127: Resonator 2 damping
Jomox,Alpha Base,MBrane,Coupling 1 to 2,Coupling amount from resonator 1 into 2,101,,0,127,,,,,,,0-based,Channel 2,0~127: Coupling 1 into 2
Jomox,Alpha Base,MBrane,Coupling 2 to 1,Coupling amount from resonator 2 into 1,103,,0,127,,,,,,,centered,Channel 2; Center 63,0~127: Coupling 2 into 1
Jomox,Alpha Base,MBrane,Noise Level,Level of the noise component,109,,0,127,,,,,,,0-based,Channel 2,0~127: Noise level
Jomox,Alpha Base,MBrane,Decay,Length of the tail,110,,0,127,,,,,,,0-based,Channel 2,0~127: Decay time
Jomox,Alpha Base,MBrane,Metallic Noise 1,Selects metallic noise pattern 1,107,,0,127,,,,,,,0-based,Channel 2,0~127: Metallic noise 1 mode
Jomox,Alpha Base,MBrane,Metallic Noise 2,Selects metallic noise pattern 2,116,,0,127,,,,,,,0-based,Channel 2,0~127: Metallic noise 2 mode
Jomox,Alpha Base,MBrane,Gate Time,Gate length for the analog trigger circuit,114,,0,127,,,,,,,0-based,Channel 2,0~127: Trigger gate length
Jomox,Alpha Base,MBrane,LFO 1 Wave,Selects LFO 1 waveform,119,,0,63,,,,,,,0-based,Channel 2,0~63: LFO 1 waveform select
Jomox,Alpha Base,MBrane,LFO 1 Intensity,Amount of LFO 1 modulation applied,121,,0,127,,,,,,,0-based,Channel 2,0~127: LFO 1 depth
Jomox,Alpha Base,MBrane,LFO 1 Rate,LFO 1 speed,122,,0,127,,,,,,,0-based,Channel 2,0~127: LFO 1 speed
Jomox,Alpha Base,MBrane,LFO 2 Wave,Selects LFO 2 waveform,123,,0,63,,,,,,,0-based,Channel 2,0~63: LFO 2 waveform select
Jomox,Alpha Base,MBrane,LFO 2 Intensity,Amount of LFO 2 modulation applied,124,,0,127,,,,,,,0-based,Channel 2,0~127: LFO 2 depth
Jomox,Alpha Base,MBrane,LFO 2 Rate,LFO 2 speed,125,,0,127,,,,,,,0-based,Channel 2,0~127: LFO 2 speed
Jomox,Alpha Base,MBrane,Envelope 1 Attack,Attack time of modulation envelope 1,90,,0,127,,,,,,,0-based,Channel 2,0~127: Envelope 1 attack time
Jomox,Alpha Base,MBrane,Envelope 1 Decay,Decay time of modulation envelope 1,91,,0,127,,,,,,,0-based,Channel 2,0~127: Envelope 1 decay time
Jomox,Alpha Base,MBrane,Envelope 1 Amount,Amount of modulation envelope 1 applied,92,,0,127,,,,,,,0-based,Channel 2,0~127: Envelope 1 depth
Jomox,Alpha Base,MBrane,Envelope 2 Attack,Attack time of modulation envelope 2,94,,0,127,,,,,,,0-based,Channel 2,0~127: Envelope 2 attack time
Jomox,Alpha Base,MBrane,Envelope 2 Decay,Decay time of modulation envelope 2,95,,0,127,,,,,,,0-based,Channel 2,0~127: Envelope 2 decay time
Jomox,Alpha Base,MBrane,Envelope 2 Amount,Amount of modulation envelope 2 applied,96,,0,127,,,,,,,0-based,Channel 2,0~127: Envelope 2 depth
Jomox,Alpha Base,MBrane,Select Instrument for Multi Kit,Selects the instrument slot for a multi kit,64,,0,127,,,,,,,0-based,Channel 2,0~127: Instrument select
Jomox,Alpha Base,MBrane,Volume,Instrument output level,7,,0,127,,,,,,,0-based,Channel 2,0~127: Output level
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Sample Tune,Coarse tuning of the sample,100,,0,127,,,,,,,0-based,Channels 3-10,0~127: Sample coarse tune
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Sample Cents,Fine tuning of the sample in cents,99,,0,127,,,,,,,0-based,Channels 3-10,0~127: Sample fine tune
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Sample Start,Sample playback start point,101,,0,127,,,,,,,0-based,Channels 3-10,0~127: Sample start position
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Sample Stop,Sample playback stop point,102,,0,127,,,,,,,0-based,Channels 3-10,0~127: Sample stop position
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Sample Loop,Sample loop point,97,,0,127,,,,,,,0-based,Channels 3-10,0~127: Sample loop position
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Sample Select,Selects the sample,103,,0,127,,,,,,,0-based,Channels 3-10,0~127: Sample select
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),VCA Envelope Attack,Attack time of the amplitude envelope,104,,0,127,,,,,,,0-based,Channels 3-10,0~127: VCA envelope attack
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Filter Envelope Attack,Attack time of the filter envelope,105,,0,127,,,,,,,0-based,Channels 3-10,0~127: Filter envelope attack
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),VCA Envelope Decay,Decay time of the amplitude envelope,106,,0,127,,,,,,,0-based,Channels 3-10,0~127: VCA envelope decay
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),Filter Envelope Decay,Decay time of the filter envelope,107,,0,127,,,,,,,0-based,Channels 3-10,0~127: Filter envelope decay
Jomox,Alpha Base,Sample (CH/OH/CLP/RIM/CRH/RID/X1/X2),VCA Envelope Sustain,Sustain level of the amplitude envelope,108,,0,127,,,,,,,0-based,Channels 3-10,0~127: VCA envelope sustain
