manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
KORG,Electribe ES-1,Part 1,Pitch,Sets the sample pitch,,,,,,5,0,0,127,64,centered,64 = equal pitch,
KORG,Electribe ES-1,Part 1,Level,Sets the part level,,,,,,5,1,0,127,,0-based,,
KORG,Electribe ES-1,Part 1,Filter,Sets the filter cutoff,,,,,,5,2,0,127,,0-based,,
KORG,Electribe ES-1,Part 1,Pan,Pans between left and right channel,,,,,,5,3,0,127,64,centered,,
KORG,Electribe ES-1,Part 1,Effect send,Routes the part through the effect,,,,,,5,4,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 1,Roll,Enables the step roll,,,,,,5,5,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 1,Reverse,Plays the sample in reverse,,,,,,5,6,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 1,Motion sequence type,Sets the motion sequence mode,,,,,,5,7,0,2,,0-based,,0: Off; 1: Smooth; 2: Trig hold
KORG,Electribe ES-1,Part 2,Pitch,Sets the sample pitch,,,,,,5,8,0,127,64,centered,64 = equal pitch,
KORG,Electribe ES-1,Part 2,Level,Sets the part level,,,,,,5,9,0,127,,0-based,,
KORG,Electribe ES-1,Part 2,Filter,Sets the filter cutoff,,,,,,5,10,0,127,,0-based,,
KORG,Electribe ES-1,Part 2,Pan,Pans between left and right channel,,,,,,5,11,0,127,64,centered,,
KORG,Electribe ES-1,Part 2,Effect send,Routes the part through the effect,,,,,,5,12,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 2,Roll,Enables the step roll,,,,,,5,13,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 2,Reverse,Plays the sample in reverse,,,,,,5,14,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 2,Motion sequence type,Sets the motion sequence mode,,,,,,5,15,0,2,,0-based,,0: Off; 1: Smooth; 2: Trig hold
KORG,Electribe ES-1,Part 3,Pitch,Sets the sample pitch,,,,,,5,16,0,127,64,centered,64 = equal pitch,
KORG,Electribe ES-1,Part 3,Level,Sets the part level,,,,,,5,17,0,127,,0-based,,
KORG,Electribe ES-1,Part 3,Filter,Sets the filter cutoff,,,,,,5,18,0,127,,0-based,,
KORG,Electribe ES-1,Part 3,Pan,Pans between left and right channel,,,,,,5,19,0,127,64,centered,,
KORG,Electribe ES-1,Part 3,Effect send,Routes the part through the effect,,,,,,5,20,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 3,Roll,Enables the step roll,,,,,,5,21,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 3,Reverse,Plays the sample in reverse,,,,,,5,22,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 3,Motion sequence type,Sets the motion sequence mode,,,,,,5,23,0,2,,0-based,,0: Off; 1: Smooth; 2: Trig hold
KORG,Electribe ES-1,Part 4,Pitch,Sets the sample pitch,,,,,,5,24,0,127,64,centered,64 = equal pitch,
KORG,Electribe ES-1,Part 4,Level,Sets the part level,,,,,,5,25,0,127,,0-based,,
KORG,Electribe ES-1,Part 4,Filter,Sets the filter cutoff,,,,,,5,26,0,127,,0-based,,
KORG,Electribe ES-1,Part 4,Pan,Pans between left and right channel,,,,,,5,27,0,127,64,centered,,
KORG,Electribe ES-1,Part 4,Effect send,Routes the part through the effect,,,,,,5,28,0,1,,0-based,,0: Off; 1: On
KORG,Electribe ES-1,Part 4,Roll,Enables the step roll,,,,,,5,29,0,1,,0-based,,0: Off; 1: On
