manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
KORG,M3,Program Select,Bank Select(MSB),for Prog/Combi change,0,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Modulation1,as Joy Stick +Y,1,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Modulation2,as Joy Stick -Y,2,,0,127,,,,,,,0-based,,
KORG,M3,Pedals & Switches,Foot Pedal,as AMS & FX Dmod Src = Foot Pedal,4,,0,127,,,,,,,0-based,,
KORG,M3,Pedals & Switches,Portamento Time,,5,,0,127,,,,,,,0-based,,
KORG,M3,Data Entry,Data Entry (MSB),for RPC edit,6,,0,127,,,,,,,0-based,,
KORG,M3,Mixer,Volume,,7,,0,127,,,,,,,0-based,,
KORG,M3,Effects,Balance Control,for Post IFX Panpot control,8,,0,127,,,,,,,centered,,
KORG,M3,Mixer,Panpot,,10,,0,127,,,,,,,centered,,
KORG,M3,Mixer,Expression,,11,,0,127,,,,,,,0-based,,
KORG,M3,Effects,Effect Control 1,as FX Dmod Src = Fx Control1,12,,0,127,,,,,,,0-based,,
KORG,M3,Effects,Effect Control 2,as FX Dmod Src = Fx Control2,13,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA ON/OFF,,14,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl1,as Ribbon Controller,16,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl2,as AMS & FX Dmod Src = Slider Mod5,17,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl3,as Value Slider,18,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl4,as AMS & FX Dmod Src = Slider Mod6,19,,0,127,,,,,,,0-based,,
KORG,M3,Effects,AMS & FX Dmod Src = Slider Mod7,,20,,0,127,,,,,,,0-based,,
KORG,M3,Effects,AMS & FX Dmod Src = Slider Mod8,,21,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider1,,22,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider2,,23,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider3,,24,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider4,,25,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider5,,26,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider6,,27,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider7,,28,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA Slider8,,29,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SCENE1...8 Control,,30,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA LATCH,,31,,0,127,,,,,,,0-based,,
KORG,M3,Program Select,Bank Select(LSB),for Prog / Combi change,32,,0,127,,,,,,,0-based,,
KORG,M3,Data Entry,Data Entry (LSB),for RPC edit,38,,0,127,,,,,,,0-based,,
KORG,M3,Pedals & Switches,Hold1,as Damper,64,,0,127,,,,,,,0-based,,
KORG,M3,Pedals & Switches,Portamento Off/On,,65,,0,127,,,,,,,0-based,,
KORG,M3,Pedals & Switches,Sostenuto Off/On,,66,,0,127,,,,,,,0-based,,
KORG,M3,Pedals & Switches,Soft Pedal,,67,,0,127,,,,,,,0-based,,
KORG,M3,Envelope,Sound Controller 1,for Sustain Level control,70,,0,127,,,,,,,0-based,,
KORG,M3,Filter,Sound Controller 2,for Resonance control,71,,0,127,,,,,,,0-based,,
KORG,M3,Envelope,Sound Controller 3,for Release Time control,72,,0,127,,,,,,,0-based,,
KORG,M3,Envelope,Sound Controller 4,for Attack Time control,73,,0,127,,,,,,,0-based,,
KORG,M3,Filter,Sound Controller 5,for Filter Cutoff control,74,,0,127,,,,,,,0-based,,
KORG,M3,Envelope,Sound Controller 6,for Decay Time control,75,,0,127,,,,,,,0-based,,
KORG,M3,General,Sound Controller 7,for LFO1 Speed control,76,,0,127,,,,,,,0-based,,
KORG,M3,General,Sound Controller 8,for LFO1 Pitch Depth control,77,,0,127,,,,,,,0-based,,
KORG,M3,Effects,Sound Controller 9,for LFO1 Delay control,78,,0,127,,,,,,,0-based,,
KORG,M3,Filter,Sound Controller 10,for Filter EG Intensity control,79,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl5,as AMS & FX Dmod Src = SW 1,80,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl6,as AMS & FX Dmod Src = SW 2,81,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl7,as AMS & FX Dmod Src = Foot Switch,82,,0,127,,,,,,,0-based,,
KORG,M3,Controllers,Multi Purpose Ctrl8,as AMS & FX Dmod Src = CC#83,83,,0,127,,,,,,,0-based,,
KORG,M3,Effects,AMS & FX Dmod Src = XY Mod +X,,85,,0,127,,,,,,,0-based,,
KORG,M3,Effects,AMS & FX Dmod Src = XY Mod -X,,86,,0,127,,,,,,,0-based,,
KORG,M3,Effects,AMS & FX Dmod Src = XY Mod +Y,,87,,0,127,,,,,,,0-based,,
KORG,M3,Effects,AMS & FX Dmod Src = XY Mod -Y,,88,,0,127,,,,,,,0-based,,
KORG,M3,Effects,Effect 1 Depth,for Send 2 Level control,91,,0,127,,,,,,,0-based,,
KORG,M3,Effects,Effect 3 Depth,for Send 1 Level control,93,,0,127,,,,,,,0-based,,
KORG,M3,Data Entry,Data Increment,for RPC edit,96,,0,127,,,,,,,0-based,,
KORG,M3,Data Entry,Data Decrement,for RPC edit,97,,0,127,,,,,,,0-based,,
KORG,M3,Data Entry,RPN Param No. (LSB),for RPN select,100,,0,127,,,,,,,0-based,,
KORG,M3,Data Entry,RPN Param No. (MSB),for RPN select,101,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW1,,102,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW2,,103,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW3,,104,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW4,,105,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW5,,106,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW6,,107,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW7,,108,,0,127,,,,,,,0-based,,
KORG,M3,General,KARMA SW8,,109,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad1,,110,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad2,,111,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad3,,112,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad4,,113,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad5,,114,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad6,,115,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad7,,116,,0,127,,,,,,,0-based,,
KORG,M3,General,Pad8,,117,,0,127,,,,,,,0-based,,
KORG,M3,General,XY Control Mode X,,118,,0,127,,,,,,,0-based,,
KORG,M3,General,XY Control Mode Y,,119,,0,127,,,,,,,0-based,,
KORG,M3,Mode Messages,All Sound Off,,120,,0,127,,,,,,,0-based,,
