manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
KORG,Nautilus,Program Select,Bank Select(MSB),for Prog/Combi/Set List change,0,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Modulation1,as Joy Stick +Y,1,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Modulation2,as Joy Stick -Y,2,,0,127,,,,,,,0-based,,
KORG,Nautilus,Pedals & Switches,Foot Pedal,as AMS & FX Dmod Src = Foot Pedal,4,,0,127,,,,,,,0-based,,
KORG,Nautilus,Pedals & Switches,Portamento Time,,5,,0,127,,,,,,,0-based,,
KORG,Nautilus,Data Entry,Data Entry (MSB),for RPC edit,6,,0,127,,,,,,,0-based,,
KORG,Nautilus,Mixer,Volume,,7,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,Balance Control,for Post IFX Panpot control,8,,0,127,,,,,,,centered,,
KORG,Nautilus,Mixer,Panpot,,10,,0,127,,,,,,,centered,,
KORG,Nautilus,Mixer,Expression,,11,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,Effect Control 1,as FX Dmod Src = Fx Control1,12,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,Effect Control 2,as FX Dmod Src = Fx Control2,13,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,ARP ON/OFF,,14,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,DRUM ON/OFF,,15,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl1,as AMS & FX Dmod Src = CC#16,16,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl2,as AMS & FX Dmod Src = CC#17,17,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl3,as AMS & FX Dmod Src = CC#18,18,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl4,as AMS & FX Dmod Src = CC#19,19,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,AMS & FX Dmod Src = Knob Mod5,,20,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,AMS & FX Dmod Src = Knob Mod6,,21,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,GATE,,22,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,VELOCITY,,23,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,LENGTH,,24,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,SWING,,25,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,DRUM SD,,26,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,LATCH ON/OFF,,31,,0,127,,,,,,,0-based,,
KORG,Nautilus,Program Select,Bank Select(LSB),for Prog/Combi/Set List change,32,,0,127,,,,,,,0-based,,
KORG,Nautilus,Data Entry,Data Entry (LSB),for RPC edit,38,,0,127,,,,,,,0-based,,
KORG,Nautilus,Pedals & Switches,Hold1,as Damper,64,,0,127,,,,,,,0-based,,
KORG,Nautilus,Pedals & Switches,Portamento Off/On,,65,,0,127,,,,,,,0-based,,
KORG,Nautilus,Pedals & Switches,Sostenuto Off/On,,66,,0,127,,,,,,,0-based,,
KORG,Nautilus,Pedals & Switches,Soft Pedal,,67,,0,127,,,,,,,0-based,,
KORG,Nautilus,Envelope,Sound Controller 1,for Sustain Level control,70,,0,127,,,,,,,0-based,,
KORG,Nautilus,Filter,Sound Controller 2,for Resonance control,71,,0,127,,,,,,,0-based,,
KORG,Nautilus,Envelope,Sound Controller 3,for Release Time control,72,,0,127,,,,,,,0-based,,
KORG,Nautilus,Envelope,Sound Controller 4,for Attack Time control,73,,0,127,,,,,,,0-based,,
KORG,Nautilus,Filter,Sound Controller 5,for Filter Cutoff control,74,,0,127,,,,,,,0-based,,
KORG,Nautilus,Envelope,Sound Controller 6,for Decay Time control,75,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,Sound Controller 7,for LFO1 Speed control,76,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,Sound Controller 8,for LFO1 Pitch Depth control,77,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,Sound Controller 9,for LFO1 Delay control,78,,0,127,,,,,,,0-based,,
KORG,Nautilus,Filter,Sound Controller 10,for Filter EG Intensity control,79,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl5,as AMS & FX Dmod Src = SW 1,80,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl6,as AMS & FX Dmod Src = SW 2,81,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl7,as AMS & FX Dmod Src = Foot Switch,82,,0,127,,,,,,,0-based,,
KORG,Nautilus,Controllers,Multi Purpose Ctrl8,as AMS & FX Dmod Src = CC#83,83,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,AMS & FX Dmod Src = X-Y Mod +X,,85,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,AMS & FX Dmod Src = X-Y Mod -X,,86,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,AMS & FX Dmod Src = X-Y Mod +Y,,87,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,AMS & FX Dmod Src = X-Y Mod -Y,,88,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,Effect 1 Depth,for Send 2 Level control,91,,0,127,,,,,,,0-based,,
KORG,Nautilus,Effects,Effect 3 Depth,for Send 1 Level control,93,,0,127,,,,,,,0-based,,
KORG,Nautilus,Data Entry,Data Increment,for RPC edit,96,,0,127,,,,,,,0-based,,
KORG,Nautilus,Data Entry,Data Decrement,for RPC edit,97,,0,127,,,,,,,0-based,,
KORG,Nautilus,Data Entry,RPN Param No. (LSB),for RPN select,100,,0,127,,,,,,,0-based,,
KORG,Nautilus,Data Entry,RPN Param No. (MSB),for RPN select,101,,0,127,,,,,,,0-based,,
KORG,Nautilus,General,X-Y Control X,,118,,0,127,,,,,,,0-based,,
