manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
KORG,RADIAS,Program,Bank select MSB,Selects the program bank (paired with CC 32 and a Program Change),0,,0,32,0,,,,,,0-based,Value 0 selects the Program area; value 32 selects Timbre or Drum Kit areas. Must be followed by CC 32 and a Program Change,0: Program A-P; 32: Timbre or Drum Kit
KORG,RADIAS,Program,Bank select LSB,Selects the program bank (paired with CC 0 and a Program Change),32,,0,64,0,,,,,,0-based,"Value pairs with CC 0 to pick bank. With MSB 0: 0 selects banks A-H, 1 selects banks I-P. With MSB 32: 32-39 select Timbre 1-4, 64 selects Drum Kit",0: Banks A-H; 1: Banks I-P; 32: Timbre 1; 33: Timbre 1 preset; 34: Timbre 2; 35: Timbre 2 preset; 36: Timbre 3; 37: Timbre 3 preset; 38: Timbre 4; 39: Timbre 4 preset; 64: Drum Kit
KORG,RADIAS,Controllers,Modulation,Modulation wheel depth (controls LFO2 vibrato intensity by default),1,,0,127,0,,,,,,0-based,,0~127: Modulation depth
KORG,RADIAS,Controllers,Breath control,Breath controller depth (assignable pedal can also drive it),2,,0,127,0,,,,,,0-based,,0~127: Breath controller depth
KORG,RADIAS,Controllers,Foot control,Foot controller (assignable pedal),4,,0,127,0,,,,,,0-based,,0~127: Foot controller amount
KORG,RADIAS,Controllers,Expression,Expression pedal (controls timbre volume),11,,0,127,127,,,,,,0-based,,0~127: Expression amount
KORG,RADIAS,Controllers,Sustain,Damper pedal on/off,64,,0,127,0,,,,,,0-based,Default CC for the assignable switch when set to Damper,0-63: Off; 64-127: On
KORG,RADIAS,Controllers,Portamento switch,Portamento on/off,65,,0,127,0,,,,,,0-based,Default CC for the assignable switch when set to PortSw,0-63: Off; 64-127: On
KORG,RADIAS,Controllers,Foot switch,Assignable foot switch (Multi Purpose Controller 17),82,,0,127,0,,,,,,0-based,Default CC sent when the assignable switch is set to FootSw. Conflicts with the default Filter 2 keyboard track knob assignment,0-63: Off; 64-127: On
KORG,RADIAS,Global,All sound off,Silences all sounding notes,120,,0,0,,,,,,,0-based,Receive only,0: All sound off
KORG,RADIAS,Global,Reset all controllers,Resets all continuous controllers to their default values,121,,0,0,,,,,,,0-based,Receive only,0: Reset all controllers
KORG,RADIAS,Global,All note off,Silences all currently held notes,123,,0,0,,,,,,,0-based,Receive only,0: All notes off
KORG,RADIAS,Global,Omni mode off,Sets the Timbre to receive on its MIDI channel only,124,,0,0,,,,,,,0-based,Receive only,0: Omni mode off
KORG,RADIAS,Global,Omni mode on,Sets the Timbre to receive on any MIDI channel,125,,0,0,,,,,,,0-based,Receive only,0: Omni mode on
KORG,RADIAS,Unison,Unison switch,Turns the Unison voice mode on or off,3,,0,127,0,,,,,,0-based,,0-63: Off; 64-127: On
KORG,RADIAS,Pitch,Portamento time,Sets the portamento glide time,5,,0,127,0,,,,,,0-based,,0~127: Portamento time
KORG,RADIAS,Oscillator 1,Wave,Selects the oscillator 1 waveform,8,,0,127,0,,,,,,0-based,,0-13: Saw; 14-27: Square; 28-41: Triangle; 42-55: Sine; 56-69: Formant; 70-83: Noise; 84-97: Synth PCM; 98-111: Drum PCM; 112-127: Audio in
KORG,RADIAS,Oscillator 1,Modulation type,Selects the oscillator 1 modulation algorithm,9,,0,127,0,,,,,,0-based,,0-31: Waveform; 32-63: Cross; 64-95: Unison; 96-127: VPM
KORG,RADIAS,Oscillator 1,Control 1,"Oscillator 1 primary control (waveform, pulse width, cross depth, detune, VPM depth, formant width, resonance, or gain depending on the wave and modulation type)",15,,0,127,0,,,,,,0-based,,0~127: Oscillator 1 control 1
KORG,RADIAS,Oscillator 1,Control 2,"Oscillator 1 secondary control (LFO modulation intensity, unison phase, carrier harmonics, formant shift, LPF-HPF balance, or wave select depending on the wave and modulation type)",17,,0,127,0,,,,,,0-based,,0~127: Oscillator 1 control 2
KORG,RADIAS,Oscillator 2,Wave,Selects the oscillator 2 waveform,18,,0,127,0,,,,,,0-based,,0-31: Saw; 32-63: Square; 64-95: Triangle; 96-127: Sine
KORG,RADIAS,Oscillator 2,Modulation type,Selects the oscillator 2 modulation algorithm,19,,0,127,0,,,,,,0-based,,0-31: Off; 32-63: Ring; 64-95: Sync; 96-127: Ring plus sync
KORG,RADIAS,Oscillator 2,Semitone,Oscillator 2 pitch offset in semitones relative to oscillator 1,20,,0,127,64,,,,,,centered,Non-linear gradient maps to -24 to +24 semitones,0~127: -24 to +24 semitones
KORG,RADIAS,Oscillator 2,Tune,Oscillator 2 fine tune in cents,21,,0,127,64,,,,,,centered,,0~127: -63 to +63 cents
KORG,RADIAS,Mixer,Oscillator 1 level,Oscillator 1 level into the mixer,23,,0,127,,,,,,,0-based,,0~127: Oscillator 1 level
KORG,RADIAS,Mixer,Oscillator 2 level,Oscillator 2 level into the mixer,24,,0,127,,,,,,,0-based,,0~127: Oscillator 2 level
KORG,RADIAS,Mixer,Noise level,Noise generator level into the mixer,25,,0,127,0,,,,,,0-based,,0~127: Noise level
KORG,RADIAS,Filter,Routing,Configures how the two filters are connected,26,,0,127,0,,,,,,0-based,,0-31: Single; 32-63: Serial; 64-95: Parallel; 96-127: Individual
KORG,RADIAS,Filter 1,Type balance,"Continuously blends filter 1 between LPF24, LPF12, HPF, BPF, and THRU",27,,0,127,0,,,,,,0-based,Set to 0 for LPF24 and 127 for THRU; intermediate values blend between filter types,0: LPF24; 1~30: LPF24 to LPF12 blend; 31-33: LPF12; 34~62: LPF12 to HPF blend; 63-65: HPF; 66~94: HPF to BPF blend; 95-97: BPF; 98~126: BPF to THRU blend; 127: THRU
KORG,RADIAS,Filter 1,Cutoff,Filter 1 cutoff frequency,74,,0,127,,,,,,,0-based,,0~127: Cutoff frequency
KORG,RADIAS,Filter 1,Resonance,Filter 1 resonance amount,71,,0,127,0,,,,,,0-based,,0~127: Resonance
KORG,RADIAS,Filter 1,EG1 intensity,Amount that EG 1 modulates the filter 1 cutoff,79,,0,127,64,,,,,,centered,,0~127: -63 to +63 modulation amount
KORG,RADIAS,Filter 1,Keyboard track,Amount that note number tracks filter 1 cutoff,28,,0,127,64,,,,,,centered,Non-linear gradient maps to -2.00 to +2.00 tracking ratio,0~127: -2.00 to +2.00 tracking ratio
KORG,RADIAS,Filter 2,Type,Selects the filter 2 type,29,,0,127,0,,,,,,0-based,,0-31: LPF; 32-63: HPF; 64-95: BPF; 96-127: Comb
KORG,RADIAS,Filter 2,Cutoff,Filter 2 cutoff frequency,30,,0,127,,,,,,,0-based,,0~127: Cutoff frequency
KORG,RADIAS,Filter 2,Resonance,Filter 2 resonance amount,68,,0,127,0,,,,,,0-based,,0~127: Resonance
KORG,RADIAS,Filter 2,EG1 intensity,Amount that EG 1 modulates the filter 2 cutoff,69,,0,127,64,,,,,,centered,,0~127: -63 to +63 modulation amount
KORG,RADIAS,Filter 2,Keyboard track,Amount that note number tracks filter 2 cutoff,82,,0,127,64,,,,,,centered,Shares CC 82 with the default assignable foot switch; reassign one if both are needed,0~127: -63 to +63 tracking amount
KORG,RADIAS,Amp,Level,Amp section output level (also receives MIDI Volume),7,,0,127,127,,,,,,0-based,,0~127: Amp level
