manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
KORG,Wavestate,General,Modulation,,1,,0,127,,,,,0-based,,
KORG,Wavestate,General,Volume,,7,,0,127,,,,,0-based,,
KORG,Wavestate,General,Pan,,10,,0,127,,,,,Centered,,
KORG,Wavestate,General,Expression,,11,,0,127,,,,,0-based,,
KORG,Wavestate,Vector,Vector joystick X,,16,,0,127,,,,,0-based,,
KORG,Wavestate,Vector,Vector joystick Y,,17,,0,127,,,,,0-based,,
KORG,Wavestate,Pedals,Damper,,64,,0,127,,,,,0-based,,
KORG,Wavestate,Pedals,Sostenuto,,66,,0,127,,,,,0-based,,
KORG,Wavestate,Pedals,Soft,,67,,0,127,,,,,0-based,,
KORG,Wavestate,General,All sounds off,,120,,0,127,,,,,0-based,,
KORG,Wavestate,General,Reset all controllers,,121,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 2,,2,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 3,,3,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 4,,4,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 5,,5,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 6,,6,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 8,,8,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 9,,9,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 12,,12,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 13,,13,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 14,,14,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 15,,15,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 16,,16,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 17,,17,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 18,,18,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 19,,19,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 20,,20,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 21,,21,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 22,,22,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 23,,23,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 24,,24,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 25,,25,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 26,,26,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 27,,27,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 28,,28,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 29,,29,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 30,,30,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 31,,31,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 32,,32,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 33,,33,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 34,,34,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 35,,35,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 36,,36,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 37,,37,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 38,,38,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 39,,39,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 40,,40,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 41,,41,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 42,,42,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 43,,43,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 44,,44,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 45,,45,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 46,,46,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 47,,47,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 48,,48,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 49,,49,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 50,,50,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 51,,51,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 52,,52,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 53,,53,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 54,,54,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 55,,55,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 56,,56,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 57,,57,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 58,,58,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 59,,59,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 60,,60,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 61,,61,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 62,,62,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 63,,63,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 65,,65,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 67,,67,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 68,,68,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 69,,69,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 70,,70,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 71,,71,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 72,,72,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 73,,73,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 74,,74,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 75,,75,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 76,,76,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 77,,77,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 78,,78,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 79,,79,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 80,,80,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 81,,81,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 82,,82,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 83,,83,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 84,,84,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 85,,85,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 86,,86,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 87,,87,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 88,,88,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 89,,89,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 90,,90,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 91,,91,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 92,,92,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 93,,93,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 94,,94,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 95,,95,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 102,,102,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 103,,103,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 104,,104,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 105,,105,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 106,,106,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 107,,107,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 108,,108,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 109,,109,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 110,,110,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 111,,111,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 112,,112,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 113,,113,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 114,,114,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 115,,115,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 116,,116,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 117,,117,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 118,,118,,0,127,,,,,0-based,,
KORG,Wavestate,Assignable,Assignable CC 119,,119,,0,127,,,,,0-based,,
