manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
KORG,microKORG XL+,Program Select,Bank Select(MSB),Program/Timbre,0,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Controllers,Pitch Modulation Depth,,1,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Data Entry,Data Entry(MSB),,6,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Mixer,Expression,,11,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Program Select,Bank Select(LSB),Program/Timbre,32,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Envelope,Sustain Off/On,,64,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Pedals & Switches,Portamento Off/On,,65,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Data Entry,NRPN LSB,,98,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Data Entry,NRPN MSB,,99,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Mode Messages,All Sound Off,,120,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Mode Messages,Reset All Controllers,,121,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Mode Messages,All Note Off,,123,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Mode Messages,Omni Mode Off,,124,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Mode Messages,Omni Mode On,,125,,0,127,,,,,,,0-based,,
KORG,microKORG XL+,Arpeggio,Arpeggio On/Off,,,,,,,0,2,0,127,,0-based,,0: Off; 127: On
KORG,microKORG XL+,Arpeggio,Arpeggio Octaves,,,,,,,0,3,0,3,,0-based,,0~3: 1~4 Oct
KORG,microKORG XL+,Arpeggio,Arpeggio Latch On/Off,,,,,,,0,4,0,127,,0-based,,0-63: Off; 64-127: On
KORG,microKORG XL+,Arpeggio,Arpeggio Type,,,,,,,0,7,0,127,,0-based,,0-20: Up; 21-41: Down; 42-62: Alt1; 63-83: Alt2; 84-104: Random; 105-127: Trigger
KORG,microKORG XL+,Arpeggio,Arpeggio Gate,,,,,,,0,10,0,127,,0-based,,0~127: 0~100
KORG,microKORG XL+,Arpeggio,Arpeggio Select,,,,,,,0,11,0,127,,0-based,,0-42: Timbre1; 43-85: Timbre2; 86-127: Timbre1+2
KORG,microKORG XL+,Virtual Patch,Patch1 Source,,,,,,,4,0,0,127,,0-based,,0-10: EG1; 11-20: EG2; 21-31: EG3; 32-42: LFO1; 43-52: LFO2; 53-63: VELOCITY; 64-74: PITCH BEND; 75-84: MOD WHEEL; 85-95: KBD TRACK; 96-106: MIDI1; 107-116: MIDI2; 117-127: MIDI3
KORG,microKORG XL+,Virtual Patch,Patch2 Source,,,,,,,4,1,0,127,,0-based,,0-10: EG1; 11-20: EG2; 21-31: EG3; 32-42: LFO1; 43-52: LFO2; 53-63: VELOCITY; 64-74: PITCH BEND; 75-84: MOD WHEEL; 85-95: KBD TRACK; 96-106: MIDI1; 107-116: MIDI2; 117-127: MIDI3
KORG,microKORG XL+,Virtual Patch,Patch3 Source,,,,,,,4,2,0,127,,0-based,,0-10: EG1; 11-20: EG2; 21-31: EG3; 32-42: LFO1; 43-52: LFO2; 53-63: VELOCITY; 64-74: PITCH BEND; 75-84: MOD WHEEL; 85-95: KBD TRACK; 96-106: MIDI1; 107-116: MIDI2; 117-127: MIDI3
KORG,microKORG XL+,Virtual Patch,Patch4 Source,,,,,,,4,3,0,127,,0-based,,0-10: EG1; 11-20: EG2; 21-31: EG3; 32-42: LFO1; 43-52: LFO2; 53-63: VELOCITY; 64-74: PITCH BEND; 75-84: MOD WHEEL; 85-95: KBD TRACK; 96-106: MIDI1; 107-116: MIDI2; 117-127: MIDI3
KORG,microKORG XL+,Virtual Patch,Patch5 Source,,,,,,,4,4,0,127,,0-based,,0-10: EG1; 11-20: EG2; 21-31: EG3; 32-42: LFO1; 43-52: LFO2; 53-63: VELOCITY; 64-74: PITCH BEND; 75-84: MOD WHEEL; 85-95: KBD TRACK; 96-106: MIDI1; 107-116: MIDI2; 117-127: MIDI3
KORG,microKORG XL+,Virtual Patch,Patch6 Source,,,,,,,4,5,0,127,,0-based,,0-10: EG1; 11-20: EG2; 21-31: EG3; 32-42: LFO1; 43-52: LFO2; 53-63: VELOCITY; 64-74: PITCH BEND; 75-84: MOD WHEEL; 85-95: KBD TRACK; 96-106: MIDI1; 107-116: MIDI2; 117-127: MIDI3
KORG,microKORG XL+,Virtual Patch,Patch1 Destination,,,,,,,4,8,0,127,,0-based,,0-2: PITCH; 3-5: OSC2 TUNE; 6-9: OSC1 CTRL1; 10-12: OSC1 LEVEL; 13-15: OSC2 LEVEL; 16-18: NOISE LEVEL; 19-21: FILTER1 BALANCE; 22-25: FILTER1 CUTOFF; 26-28: FILTER1 RESONANCE; 29-31: FILTER2 CUTOFF; 32-34: DRV/WS DEPTH; 35-37: AMP LEVEL; 38-41: PANPOT; 42-44: LFO1 FREQ; 45-47: LFO2 FREQ; 48-50: PORTAMENTO; 51-53: OSC1 CTRL2; 54-57: FILTER1 EG1 INT; 58-60: FILTER1 KBD TRACK; 61-63: FILTER2 RESONANCE; 64-66: FILTER2 EG1 INT; 67-69: FILTER2 KBD TRACK; 70-73: EG1 ATTACK; 74-76: EG1 DECAY; 77-79: EG1 SUSTAIN; 80-82: EG1 RELEASE; 83-85: EG2 ATTACK; 86-89: EG2 DECAY; 90-92: EG2 SUSTAIN; 93-95: EG2 RELEASE; 96-98: EG3 ATTACK; 99-101: EG3 DECAY; 102-105: EG3 SUSTAIN; 106-108: EG3 RELEASE; 109-111: PATCH1 INT; 112-114: PATCH2 INT; 115-117: PATCH3 INT; 118-121: PATCH4 INT; 122-124: PATCH5 INT; 125-127: PATCH6 INT
