manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
KORG,volca bass,General,Slide time,,5,,0,127,,,,,0-based,,
KORG,volca bass,General,Expression,,11,,0,127,,,,,0-based,,
KORG,volca bass,General,Octave,,40,,0,127,,,,,0-based,,
KORG,volca bass,General,LFO rate,,41,,0,127,,,,,0-based,,
KORG,volca bass,General,LFO intensity,,42,,0,127,,,,,0-based,,
KORG,volca bass,General,VCO pitch 1,,43,,0,127,,,,,0-based,,
KORG,volca bass,General,VCO pitch 2,,44,,0,127,,,,,0-based,,
KORG,volca bass,General,VCO pitch 3,,45,,0,127,,,,,0-based,,
KORG,volca bass,General,EG attack,,46,,0,127,,,,,0-based,,
KORG,volca bass,General,EG decay/release,,47,,0,127,,,,,0-based,,
KORG,volca bass,General,Cutoff EG intensity,,48,,0,127,,,,,0-based,,
KORG,volca bass,General,Gate time,,49,,0,127,,,,,0-based,,
