manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
KORG,volca fm,General,Transpose,,40,,0,127,,,,,0-based,,
KORG,volca fm,General,Velocity,,41,,0,127,,,,,0-based,,
KORG,volca fm,General,Modulator attack,,42,,0,127,,,,,0-based,,
KORG,volca fm,General,Modulator decay,,43,,0,127,,,,,0-based,,
KORG,volca fm,General,Carrier attack,,44,,0,127,,,,,0-based,,
KORG,volca fm,General,Carrier decay,,45,,0,127,,,,,0-based,,
KORG,volca fm,General,LFO rate,,46,,0,127,,,,,0-based,,
KORG,volca fm,General,LFO pitch depth,,47,,0,127,,,,,0-based,,
KORG,volca fm,General,Algorithm,,48,,0,127,,,,,0-based,,
KORG,volca fm,General,Arpeggiator type,,48,,0,127,,,,,0-based,,
KORG,volca fm,General,Arpeggiator div,,50,,0,127,,,,,0-based,,
