manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Kawai,K5000S & K5000R,Common,Modulation Depth,,1,,0,127,0,,,,,,0-based,,
Kawai,K5000S & K5000R,Common,Portamento Time,,5,,0,127,0,,,,,,0-based,,
Kawai,K5000S & K5000R,Common,Volume,,7,,0,127,127,,,,,,0-based,,
Kawai,K5000S & K5000R,Common,Pan,,10,,0,127,64,,,,,,centered,,0~63: Left; 64: Center; 65~127: Right
Kawai,K5000S & K5000R,Common,Expression,,11,,0,127,127,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Harm Lo,Low Harmonics Level & Assignable General Purpose 1,16,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Harm Hi,High Harmonics Level & Assignable General Purpose 2,17,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,FF Bias,Formant Filter Frequency Bias & Assignable General Purpose 3,18,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,FF Speed,Formant Filter Env & LFO Speed & Assignable General Purpose 4,19,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Common,Hold 1,Sustain Pedal,64,,0,127,0,,,,,,0-based,,0-63: Off; 64-127: On
Kawai,K5000S & K5000R,Common,Portamento,Portamento Off/On,65,,0,127,0,,,,,,0-based,,0-63: Off; 64-127: On
Kawai,K5000S & K5000R,Common,Hold 2,Hold 2 Pedal,69,,0,127,0,,,,,,0-based,,0-63: Off; 64-127: On
Kawai,K5000S & K5000R,Macro,Even/Odd,Even/Odd Harmonics Balance,71,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Release,DCA & DCF Release Time,72,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Attack,DCA & DCF Attack Time,73,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Cutoff,DCF Cutoff Frequency,74,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,FF Depth,Formant Filter Env & LFO Depth,75,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Velocity,Velocity,76,,0,127,64,,,,,,centered,,
Kawai,K5000S & K5000R,Macro,Resonance,DCF Resonance,77,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,Decay,DCA & DCF Decay 1 Time,78,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,User 1,Assignable General Purpose 5,80,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,User 2,Assignable General Purpose 6,81,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,User 3,Assignable General Purpose 7,82,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Macro,User 4,Assignable General Purpose 8,83,,0,127,64,,,,,,0-based,,
Kawai,K5000S & K5000R,Common,Portamento Ctrl,Portamento Control,84,,0,127,0,,,,,,0-based,,
Kawai,K5000S & K5000R,,Cutoff Offset,Filter Cutoff Offset,,,,,,1,32,1792,14719,8192,centered,Data LSB is ignored,1792~8191: -; 8192-8319: 0; 8320~14719: +
Kawai,K5000S & K5000R,,Attack Offset,Attack Time Offset,,,,,,1,99,1792,14719,8192,centered,Data LSB is ignored,1792~8191: -; 8192-8319: 0; 8320~14719: +
Kawai,K5000S & K5000R,,Decay Offset,Decay 1 Time Offset,,,,,,1,100,1792,14719,8192,centered,Data LSB is ignored,1792~8191: -; 8192-8319: 0; 8320~14719: +
Kawai,K5000S & K5000R,,Release Offset,Release Time Offset,,,,,,1,101,1792,14719,8192,centered,Data LSB is ignored,1792~8191: -; 8192-8319: 0; 8320~14719: +
Kawai,K5000S & K5000R,,Switch 1,Assignable Panel Switch 1,,,,,,32,64,0,16383,0,0-based,Data LSB is ignored,0-8191: Off; 8192-16383: On
Kawai,K5000S & K5000R,,Switch 2,Assignable Panel Switch 2,,,,,,32,65,0,16383,0,0-based,Data LSB is ignored,0-8191: Off; 8192-16383: On
Kawai,K5000S & K5000R,,Foot Switch 1,Assignable Foot Switch 1,,,,,,32,66,0,16383,0,0-based,Data LSB is ignored,0-8191: Off; 8192-16383: On
Kawai,K5000S & K5000R,,Foot Switch 2,Assignable Foot Switch 2,,,,,,32,67,0,16383,0,0-based,Data LSB is ignored,0-8191: Off; 8192-16383: On
