manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Kemper,Profiler PowerHead,Banks and presets,Bank Select MSB,Values above 0 fall outside of available memory,0,,0,0,,,,,,,0-based,Kemper implements only bank 0,
Kemper,Profiler PowerHead,Banks and presets,Bank Select LSB,,32,,0,4,,,,,,,0-based,,
Kemper,Profiler PowerHead,Banks and presets,Performance Select,"Preselected performance index, Performance mode only",47,,0,124,,,,,,,0-based,,
Kemper,Profiler PowerHead,Banks and presets,Performance Index Increase,,48,,0,1,,,,,,,0-based,,0: Noop; 1: Increase
Kemper,Profiler PowerHead,Banks and presets,Performance Index Decrease,,49,,0,1,,,,,,,0-based,,0: Noop; 1: Decrease
Kemper,Profiler PowerHead,Banks and presets,Select Performance Slot 1,,50,,1,1,,,,,,,0-based,,1: Select Slot 1
Kemper,Profiler PowerHead,Banks and presets,Select Performance Slot 2,,51,,1,1,,,,,,,0-based,,1: Select Slot 2
Kemper,Profiler PowerHead,Banks and presets,Select Performance Slot 3,,52,,1,1,,,,,,,0-based,,1: Select Slot 3
Kemper,Profiler PowerHead,Banks and presets,Select Performance Slot 4,,53,,1,1,,,,,,,0-based,,1: Select Slot 4
Kemper,Profiler PowerHead,Banks and presets,Select Performance Slot 5,,54,,1,1,,,,,,,0-based,,1: Select Slot 5
Kemper,Profiler PowerHead,Pedals,Wah Pedal Level,,1,,0,127,,,,,,,0-based,,0~127: Wah pedal level
Kemper,Profiler PowerHead,Pedals,Pitch Pedal Level,,4,,0,127,,,,,,,0-based,,0~127: Pitch pedal level
Kemper,Profiler PowerHead,Pedals,Volume,"Volume, where assigned in the signal chain",7,,0,127,,,,,,,0-based,,0~127: Volume
Kemper,Profiler PowerHead,Pedals,Pan,,10,,0,127,,,,,,,centered,,0~127: Pan
Kemper,Profiler PowerHead,Pedals,Morph Pedal Value,,11,,0,127,,,,,,,0-based,,0~127: Morph pedal value
Kemper,Profiler PowerHead,Stomps,All Stomps On/Off,,16,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Stomps,Stomp A On/Off,,17,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Stomps,Stomp B On/Off,,18,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Stomps,Stomp C On/Off,,19,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Stomps,Stomp D On/Off,,20,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Effect X On/Off,,22,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Effect Mod On/Off,,24,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Delay On/Off (Cuts Tails),,26,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Delay On/Off (Keeps Tails),,27,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Reverb On/Off (Cuts Tails),,28,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Reverb On/Off (Keeps Tails),,29,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Rotary Speed,Toggles the Rotary Speaker effect's fast/slow speed,33,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Delay Feedback Infinity On/Off,,34,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Delay Hold On/Off,,35,,0,1,,,,,,,0-based,,0: Off; 1: On
Kemper,Profiler PowerHead,Effects,Delay Mix Level,,68,,0,127,,,,,,,0-based,,0~127: Delay mix level
Kemper,Profiler PowerHead,Effects,Delay Feedback Level,,69,,0,127,,,,,,,0-based,,0~127: Delay feedback level
Kemper,Profiler PowerHead,Effects,Reverb Mix Level,,70,,0,127,,,,,,,0-based,,0~127: Reverb mix level
Kemper,Profiler PowerHead,Effects,Reverb Time Level,,71,,0,127,,,,,,,0-based,,0~127: Reverb time level
Kemper,Profiler PowerHead,Effects,Effect Button I,Emulates Effect Button I,75,,0,1,,,,,,,0-based,,0: Off; 1: On
