manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Kodamo,EssenceFM,,MSB Bank,,,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,LSB Bank,,32,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,MOD,,1,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,Porta,,5,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,VOL,,7,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,BAL,,8,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,PAN,,10,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,Expr,,11,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Type,,47,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Type,,48,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Ctrl1,,51,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Ctrl2,,52,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Ctrl3,,53,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Ctrl4,,54,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Ctrl5,,55,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Ctrl1,,56,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Ctrl2,,57,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Ctrl3,,58,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Ctrl4,,59,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Ctrl5,,60,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 LVL,,61,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 LVL,,62,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,Sustain,,64,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,DRY LVL,,90,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX1 Send,,91,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX Rout MOD,,92,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,FX2 Send,,93,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,Note OFF,,120,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,Mono MOD,,126,,0,127,,,,,0-based,,
Kodamo,EssenceFM,,Poly MOD,,127,,0,127,,,,,0-based,,
