manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Korg,Minilogue,All CCs,Bank select,,0,32,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Amp EG attack,,16,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Amp EG decay,,17,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Amp EG sustain,,18,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Amp EG release,,19,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,EG attack,,20,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,EG decay,,21,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,EG sustain,,22,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,EG release,,23,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,LFO rate,,24,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,LFO depth,,26,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Voice depth,,27,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Delay hi-pass,,29,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Delay time,,30,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Delay feedback,,31,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 1 pitch,,34,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 2 pitch,,35,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 1 shape,,36,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 2 shape,,37,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Noise level,,33,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 1 level,,39,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 2 level,,40,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Cross mod depth,,41,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Pitch EG intensity,,42,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Filter cutoff,,43,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Filter resonance,,44,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Filter EG intensity,,45,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 1 octave,,48,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 2 octave,,49,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 1 wave,,50,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,VCO 2 wave,,51,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,LFO target,,56,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,LFO EG mod,,57,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,LFO wave,,58,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Sync,,80,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Ring,,81,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Velocity key track,,82,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Keyboard track,,83,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Filter type,,84,,0,127,,,,,0-based,
Korg,Minilogue,All CCs,Delay output routing,,88,,0,127,,,,,0-based,
