manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Kurzweil,Forte SE,General,OFF/Bank,,0,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MWheel,Default destination for the Modulation Wheel,1,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,Breath,Default assignment for breath controller in compatible synths,2,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,MIDI 03,MIDI Controller 3,3,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,Foot,Default assignment for continuous foot controller in compatible synths,4,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Pitch,PortTim,,5,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Data Entry,Data,MIDI Controller 6,6,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mixer,Volume,MIDI Channel/Zone Volume,7,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,Balance,MIDI Balance,8,,0,127,,,,,,,centered,,
Kurzweil,Forte SE,General,MIDI 09,MIDI Controller 9,9,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mixer,Pan,MIDI Pan,10,,0,127,,,,,,,centered,,
Kurzweil,Forte SE,General,Express,,11,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 12,Default assignment for Slider A,12,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 13,Default assignment for Slider B,13,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 22,Default assignment for Slider C,22,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 23,Default assignment for Slider D,23,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 24,Default assignment for Slider E,24,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 25,Default assignment for Slider F,25,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 26,Default assignment for Slider G,26,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 27,Default assignment for Slider H,27,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 28,Default assignment for Slider I,28,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 29,Default assignment for Variation switch,29,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,MIDI Bank,MIDI Bank change message,32,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,Sustain,Default destination for Sustain Pedal,64,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,MIDI 65,MIDI Controller 65,65,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,Sostenuto,,66,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mixer,Soft,Lowers the volume by a preset amount and may soften the timbre as well.,67,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Legato,Forces mono playback.,68,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Envelope,Freeze,Envelopes freeze at current state.,69,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 80,Default assignment for Assignable Switch 1 (Zone 1 Switch),80,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 81,Default assignment for Assignable Switch 2 (Zone 2 Switch),81,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 82,Default assignment for Assignable Switch 3 (Zone 3 Switch),82,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 83,Default assignment for Assignable Switch 4 (Zone 4 Switch),83,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Pitch,Portamento,Standard MIDI controller for setting Portamento starting note,84,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 85,Default assignment for Assignable Switch 5,85,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 86,Default assignment for Assignable Switch 6,86,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 87,Default assignment for Assignable Switch 7,87,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 89,Default assignment for Assignable Switch 8,89,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Controllers,MIDI 90,Default assignment for Assignable Switch 9,90,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Data Entry,Data Inc,Equivalent to pressing the Next Value button,96,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Data Entry,Data Dec,Equivalent to pressing the Previous Value button,97,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,NRegParL,Non-Registered Parameter Least Signiﬁcant Byte,98,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,NRegParM,Non-Registered Parameter Most Signiﬁcant Byte,99,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,RegParL,Registered Parameter Least Signiﬁcant Byte,100,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,RegParM,Registered Parameter Most Signiﬁcant Byte,101,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Sound Off,Stops all sound in the corresponding channel.,120,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,RstCtls,Resets Controllers to defaults in the corresponding channel.,121,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Local,Reserved for use by MIDI specification,122,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,General,Notes Off,Sends Note Off Message to all playing notes in the corresponding channel.,123,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Poly,Reserved for use by MIDI specification,124,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Omni,Reserved for use by MIDI specification,125,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Mono On,Reserved for use by MIDI specification,126,,0,127,,,,,,,0-based,,
Kurzweil,Forte SE,Mode Messages,Mono Off,Reserved for use by MIDI specification,127,,0,127,,,,,,,0-based,,
