manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Kurzweil,K2661,,MOD,,1,,0,127,,,,,0-based,,
Kurzweil,K2661,,Breath,,2,,0,127,,,,,0-based,,
Kurzweil,K2661,,Foot,,4,,0,127,,,,,0-based,,
Kurzweil,K2661,,Port Time,,5,,0,127,,,,,0-based,,
Kurzweil,K2661,,Data,,6,,0,127,,,,,0-based,,
Kurzweil,K2661,,Volume,,7,,0,127,,,,,0-based,,
Kurzweil,K2661,,Balance,,8,,0,127,,,,,0-based,,
Kurzweil,K2661,,PAN,,10,,0,127,,,,,0-based,,
Kurzweil,K2661,,Expression,,11,,0,127,,,,,0-based,,
Kurzweil,K2661,,AUX Bend2,,15,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL A,,16,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL B,,17,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL C,,18,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL D,,19,,0,127,,,,,0-based,,
Kurzweil,K2661,,AUX Bend1,,21,,0,127,,,,,0-based,,
Kurzweil,K2661,,Sustain,,64,,0,127,,,,,0-based,,
Kurzweil,K2661,,Port SW,,65,,0,127,,,,,0-based,,
Kurzweil,K2661,,Sost PD,,66,,0,127,,,,,0-based,,
Kurzweil,K2661,,Soft PD,,67,,0,127,,,,,0-based,,
Kurzweil,K2661,,Frez PD,,69,,0,127,,,,,0-based,,
Kurzweil,K2661,,Legato SW,,75,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL E,,80,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL F,,81,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL G,,82,,0,127,,,,,0-based,,
Kurzweil,K2661,,CTL H,,83,,0,127,,,,,0-based,,
Kurzweil,K2661,,FX DEP,,91,,0,127,,,,,0-based,,
Kurzweil,K2661,,Data INC,,96,,0,127,,,,,0-based,,
Kurzweil,K2661,,Data DEC,,97,,0,127,,,,,0-based,,
