manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
L.L. Electronics,RozzBox One V2,Global,Mod Wheel Input,,1,117,0,255,,,,,,,0-based,,
L.L. Electronics,RozzBox One V2,Global,Glide,,5,117,0,255,,,,,,,0-based,,
L.L. Electronics,RozzBox One V2,System,NRPN Input Coarse,,6,,0,127,,,,,,,0-based,,
L.L. Electronics,RozzBox One V2,OSC1,OSC1 Wave,,14,117,0,3,,,,,,,0-based,,0: Wave; 1: Pulse; 2: Saw; 3: Triangle
L.L. Electronics,RozzBox One V2,OSC1,OSC1 Octave,,15,117,0,3,,,,,,,0-based,,0: 32'; 1: 16'; 2: 8'; 3: 4'
L.L. Electronics,RozzBox One V2,OSC1,OSC1 Tune,,16,117,0,255,,,,,,,centered,,
L.L. Electronics,RozzBox One V2,OSC1,OSC1 PW,,17,117,0,255,,,,,,,0-based,,
L.L. Electronics,RozzBox One V2,OSC1,OSC1 Level,,18,117,0,255,,,,,,,0-based,,
L.L. Electronics,RozzBox One V2,OSC1,OSC1 FM Amount,,19,117,0,255,,,,,,,0-based,,
L.L. Electronics,RozzBox One V2,OSC1,OSC1 FM Source,,20,117,0,4,,,,,,,0-based,,0: ENV1; 1: ENV2; 2: LFO1; 3: LFO 2; 4: VELO
L.L. Electronics,RozzBox One V2,OSC2,OSC2 Wave,,21,117,0,3,,,,,,,0-based,,0: Wave; 1: Pulse; 2: Saw; 3: Triangle
L.L. Electronics,RozzBox One V2,OSC2,OSC2 Octave,,22,117,0,3,,,,,,,0-based,,0: 32'; 1: 16'; 2: 8'; 3: 4'
L.L. Electronics,RozzBox One V2,OSC2,OSC2 Tune,,23,117,0,255,,,,,,,centered,,
L.L. Electronics,RozzBox One V2,OSC2,OSC2 PW,,24,117,0,255,,,,,,,0-based,,
