manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
MFB,Tanzbar 1,,BD1 Attack,,2,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Decay,,64,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Pitch,,65,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Tune,,3,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Noise,,4,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Filter,,5,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Dist,,6,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD1 Trigger,,66,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD2 Decay,,8,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD2 Tune,,9,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,BD2 Tone,,10,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD Tune,,11,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD D Tune,,12,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD Snappy,,13,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD SN Decay,,67,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD Tone,,14,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD Tone Decay,,68,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SD Pitch,,69,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,RS Tune,,88,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CY Decay,,70,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CY Tone,,15,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CY Tune,,71,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,OH Decay,,72,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,HH Tune,,73,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,HH Decay,,74,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CL Tune,,16,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CL Decay,,17,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CP Decay,,75,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CP Filter,,18,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CP Attack,,76,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CP Trigger,,77,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,HTC Tune,,19,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,HTC Decay,,20,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,HTC Noise ON OFF,,78,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,HTC TOM Conga,,79,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,MTC Tune,,21,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,MTC Decay,,22,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,MTC Noise ON OFF,,80,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,MTC TOM Conga,,81,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,LTC Tune,,23,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,LTC Decay,,24,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,LTC Noise ON OFF,,82,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,LTC TOM Conga,,83,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,TOM Noise,,84,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CB Tune,,85,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,CB Decay,,86,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,MA Decay,,87,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,SET Select,,,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay CV1,,89,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay CV23,,90,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay BD1,,91,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay BD2,,92,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay SD,,93,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay RS,,94,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay CY,,95,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay OH,,96,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Track HH,,97,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay CL,,98,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay CP,,99,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay LTC,,100,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay MTC,,101,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay HTC,,102,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay CB,,103,,0,127,,,,,0-based,,
MFB,Tanzbar 1,,Track Delay MA,,104,,0,127,,,,,0-based,,
