manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
MFB,Tanzbar 2,Synth,Synth Cutoff,,36,,0,127,,,,,,,0-based,MIDI Ch 1,
MFB,Tanzbar 2,Synth,Synth Resonance,,37,,0,127,,,,,,,0-based,MIDI Ch 1,
MFB,Tanzbar 2,Synth,Synth Decay,,38,,0,127,,,,,,,0-based,MIDI Ch 1,
MFB,Tanzbar 2,Synth,Synth Envelope,,58,,0,127,,,,,,,0-based,MIDI Ch 1,
MFB,Tanzbar 2,Kick,Kick 1 attack,,0,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 37,
MFB,Tanzbar 2,Kick,Kick 1 decay,,1,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 37,
MFB,Tanzbar 2,Kick,Kick 1 tune,,2,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 37,
MFB,Tanzbar 2,Kick,Kick 2 decay,,8,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 38,
MFB,Tanzbar 2,Snare,Snare 1 snappy,,11,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 52,
MFB,Tanzbar 2,Snare,Snare 1 tune,,14,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 52,
MFB,Tanzbar 2,Snare,Snare 1 snappy decay,,15,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 52,
MFB,Tanzbar 2,Snare,Snare 2 snappy,,17,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 53,
MFB,Tanzbar 2,Tom/Conga,Tom/Conga 1 tune,,21,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 40 (Tom) or 53 (Conga),
MFB,Tanzbar 2,Tom/Conga,Tom/Conga 2 tune,,24,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 41 (Tom) or 54 (Conga),
MFB,Tanzbar 2,Tom/Conga,Tom/Conga 3 tune,,27,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 42 (Tom) or 55 (Conga),
MFB,Tanzbar 2,Voice 1,Voice 1 decay,,40,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 44,
MFB,Tanzbar 2,Voice 1,Voice 1 cutoff,,48,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 44,
MFB,Tanzbar 2,Voice 1,Voice 1 tune,,93,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 44,
MFB,Tanzbar 2,Voice 2,Voice 2 decay,,41,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 45,
MFB,Tanzbar 2,Voice 2,Voice 2 cutoff,,49,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 45,
MFB,Tanzbar 2,Voice 2,Voice 2 tune,,94,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 45,
MFB,Tanzbar 2,Voice 3,Voice 3 decay,,42,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 46,
MFB,Tanzbar 2,Voice 3,Voice 3 cutoff,,50,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 46,
MFB,Tanzbar 2,Voice 3,Voice 3 tune,,95,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 46,
MFB,Tanzbar 2,Hihat,Closed hihat decay,,44,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 57,
MFB,Tanzbar 2,Hihat,Open hihat decay,,45,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 58,
MFB,Tanzbar 2,Crash,Crash 1/2 decay,,43,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 49 (Crash1) or 50 (Crash2),
MFB,Tanzbar 2,Other percussion,Clap/Perc 1decay,,46,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 47 (Clap) or 59 (Perc1),
MFB,Tanzbar 2,Other percussion,Rim/Perc 2 decay,,47,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 48 (Rim) or 60 (Perc2),
MFB,Tanzbar 2,Other percussion,Ride/Perc 3 decay,,61,,0,127,,,,,,,0-based,MIDI Ch 3 / Note 49 (Ride per manual - likely typo) or 61 (Perc3),
