manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
MFB,Tanzbar Lite,Bass drum,Bass drum tune,,3,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Bass drum,Bass drum tone,,2,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Bass drum,Bass drum decay,,64,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Snare drum,Snare drum tone,,11,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Snare drum,Snare drum decay,,67,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Snare drum,Snare drum noise,,13,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Claps,Claps decay,,75,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Claps,Claps filter,,18,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Claps,Claps attack,,76,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Claps,Claps trigger,,77,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Toms,Toms tune,,19,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Toms,Toms decay,,20,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Conga,Conga tune,,79,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Conga,Conga decay,,78,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Conga,Conga pan,,82,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Toms,Toms pan,,73,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Cowbell,Cowbell tune,,84,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Cowbell,Cowbell decay,,85,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Claves,Claves tune,,86,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Claves,Claves decay,,87,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Cymbal,Cymbal tune,,89,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Cymbal,Cymbal tone,,92,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Cymbal,Cymbal decay,,88,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Open hi hat,Open hi hat decay,,90,,0,127,,,,,0-based,,
MFB,Tanzbar Lite,Closed hi hat,Closed hi hat decay,,91,,0,127,,,,,0-based,,
