manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
MFB,Tanzmaus,,BD ATT,,2,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD DEC,,64,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD Pitch,,65,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD Tune,,3,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD Noise,,4,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD Noise DEC,,5,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD Dist,,6,,0,127,,,,,0-based,,
MFB,Tanzmaus,,BD Trigger,,66,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SD Tune,,11,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SD Noise,,13,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SD Noise DEC,,67,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SD Trigger,,70,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SD Decay Tone,,71,,0,127,,,,,0-based,,
MFB,Tanzmaus,,CP Decay,,75,,0,127,,,,,0-based,,
MFB,Tanzmaus,,CP Filter,,18,,0,127,,,,,0-based,,
MFB,Tanzmaus,,CP Attack,,76,,0,127,,,,,0-based,,
MFB,Tanzmaus,,CP Trigger,,77,,0,127,,,,,0-based,,
MFB,Tanzmaus,,TT Tune,,19,,0,127,,,,,0-based,,
MFB,Tanzmaus,,TT Decay,,20,,0,127,,,,,0-based,,
MFB,Tanzmaus,,TT Trigger,,78,,0,127,,,,,0-based,,
MFB,Tanzmaus,,TT Attack,,79,,0,127,,,,,0-based,,
MFB,Tanzmaus,,TT Pitch,,82,,0,127,,,,,0-based,,
MFB,Tanzmaus,,TT PAN,,73,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP1 Tune,,84,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP1 Decay,,85,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP1 Sample1,,86,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP1 Sample2,,87,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP1 Attack,,88,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP2 Tune,,89,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP2 Decay,,90,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP2 Sample1,,91,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP2 Sample2,,92,,0,127,,,,,0-based,,
MFB,Tanzmaus,,SP2 Attack,,93,,0,127,,,,,0-based,,
