manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Manikin Electronic,Schrittmacher,External controllers A,External controller 000,,0,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 001,,1,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 002,,2,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 003,,3,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 004,,4,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 005,,5,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 006,,6,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 007,,7,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 008,,8,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 009,,9,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 010,,10,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 011,,11,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 012,,12,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 013,,13,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 014,,14,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers A,External controller 015,,15,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 016,,16,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 017,,17,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 018,,18,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 019,,19,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 020,,20,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 021,,21,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 022,,22,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 023,,23,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 024,,24,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 025,,25,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 026,,26,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 027,,27,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 028,,28,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 029,,29,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 030,,30,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers B,External controller 031,,31,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers C,External controller 032,,32,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers C,External controller 033,,33,,0,127,,,,,,,0-based,,
Manikin Electronic,Schrittmacher,External controllers C,External controller 034,,34,,0,127,,,,,,,0-based,,
