manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
MeeBlip,geode,Oscillators,Waveform A,,48,,0,127,,,,,0-based,,
MeeBlip,geode,Oscillators,Waveform B,,49,,0,127,,,,,0-based,,
MeeBlip,geode,Oscillators,Detune,,50,,0,127,,,,,0-based,,
MeeBlip,geode,Filter,Cutoff,,51,,0,127,,,,,0-based,,
MeeBlip,geode,Oscillators,Mix,,52,,0,127,,,,,0-based,,
MeeBlip,geode,LFO,Rate,,53,,0,127,,,,,0-based,,
MeeBlip,geode,LFO,Depth,,54,,0,127,,,,,0-based,,
MeeBlip,geode,Envelope,Amplitude attack,,55,,0,127,,,,,0-based,,
MeeBlip,geode,Envelope,Amplitude decay,,56,,0,127,,,,,0-based,,
MeeBlip,geode,Envelope,Portamento,,57,,0,127,,,,,0-based,,
MeeBlip,geode,Envelope,Filter Envelope Modulation Amount,,58,,0,127,,,,,0-based,Not on panel,
MeeBlip,geode,Envelope,Pulse width,,59,,0,127,,,,,0-based,Not on panel - audible only when you have the pulse wave selected,
MeeBlip,geode,Envelope,Sustain,,64,,0,127,,,,,0-based,,0-63: Off; 64-127: On
MeeBlip,geode,Oscillators,Oscillator B Octave Shift,,65,,0,127,,,,,0-based,,0-63: Off; 64-127: On
MeeBlip,geode,LFO,Destination,,66,,0,127,,,,,0-based,,0-63: Off; 64-127: On
MeeBlip,geode,LFO,Randomize,,67,,0,127,,,,,0-based,Not on panel,0-63: Off; 64-127: On
MeeBlip,geode,LFO,Retrigger,,68,,0,127,,,,,0-based,Not on panel,0-63: Off; 64-127: On
