manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Melbourne Instruments,Nina,,Bank Select MSB,,0,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,MOD Wheel,,1,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,MOD Matrix Midi Source,,2,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Glide Rate,,5,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Patch Volume,,7,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,PAN,,10,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Expression Source,,11,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Effect Level,,12,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC1 Tune,,14,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC2 Tune,,15,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC3 Tune,,16,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC1 Width,,17,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC2 Width,,18,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC3 Width,,19,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC1 Blend,,20,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC2 Blend,,21,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC3 Level,,22,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,LFO1 Rate,,23,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC1 Level,,24,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,OSC2 Level,,25,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Noise Level,,26,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,LFO1 Level,,27,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Resonance,,28,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Cutoff,,29,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Drive,,30,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,ENV Amount,,31,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG1 Attack,,33,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG1 Decay,,34,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG1 Sustain,,35,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG1 Release,,36,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG2 Attack,,37,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG2 Decay,,39,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG2 Sustain,,40,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,EG2 Release,,41,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Spin,,42,,0,127,,,,,0-based,,
Melbourne Instruments,Nina,,Morph,,44,,0,127,,,,,0-based,,
