manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Meris,Enzo X,Oscillator,Oscillator mod depth,,1,,0,127,,,,,,,0-based,,
Meris,Enzo X,Oscillator,Oscillator mod speed,,2,,0,127,,,,,,,0-based,,
Meris,Enzo X,Oscillator,Oscillator mod ramp time,,3,,0,127,,,,,,,0-based,,
Meris,Enzo X,Global / Control,Expression pedal,,4,,0,127,,,,,,,0-based,,
Meris,Enzo X,Drive,Drive type,,5,,0,127,,,,,,,0-based,,0-21: Off; 22-42: Volume pedal; 43-63: Tube; 64-85: Transistor; 86-106: Op-amp; 107-127: Bitcrusher
Meris,Enzo X,Drive,Drive location,,6,,0,127,,,,,,,0-based,,0-31: Pre + dry; 32-63: Dry; 64-95: Pre ambience; 96-127: Post ambience
Meris,Enzo X,Drive,Gain/volume/sample rate,,7,,0,127,,,,,,,0-based,,
Meris,Enzo X,General,Balance/bits,,8,,0,127,,,,,,,centered,,
Meris,Enzo X,Drive,Drive level/comp,,9,,0,127,,,,,,,0-based,,
Meris,Enzo X,Ambience,Ambience type,,10,,0,127,,,,,,,0-based,,0-25: Off; 26-51: Echo; 52-76: Small; 77-102: Medium; 103-127: Large
Meris,Enzo X,Delay,Feedback/decay,,11,,0,127,,,,,,,0-based,,
Meris,Enzo X,General,Half speed,,12,,0,127,,,,,,,0-based,,0-63: Half Speed OFF; 64-127: Half Speed ON
Meris,Enzo X,Ambience,Ambience mod,,13,,0,127,,,,,,,0-based,,
Meris,Enzo X,Global / Control,Bypass,,14,,0,127,,,,,,,0-based,,0-63: Fx bypass; 64-127: Fx enable
Meris,Enzo X,General,"Time (clock, 7 bit tempo)",,15,,0,127,,,,,,,0-based,,
Meris,Enzo X,Ambience,Ambience highs,,16,,0,127,,,,,,,0-based,,
Meris,Enzo X,Delay,Echo left division,,17,,0,127,,,,,,,0-based,,
Meris,Enzo X,Delay,Echo right division,,18,,0,127,,,,,,,0-based,,
Meris,Enzo X,Ambience,Ambience + echo mix,,19,,0,127,,,,,,,0-based,,
Meris,Enzo X,Ambience,Ambience lows,,20,,0,127,,,,,,,0-based,,
Meris,Enzo X,Global / Control,Midi clock,,21,,0,127,,,,,,,0-based,,0-42: Use global; 43-85: Force listen; 86-127: Force ignore
Meris,Enzo X,General,Synth mode,,22,,0,127,,,,,,,0-based,,0-25: Mono synth; 26-51: Poly synth; 52-76: Arp synth; 77-102: Dry mono; 103-127: Dry poly
Meris,Enzo X,General,Synth pitch,,23,,0,127,,,,,,,centered,,
Meris,Enzo X,Oscillator,Osc 1 wave shape,,24,,0,127,,,,,,,0-based,,
Meris,Enzo X,Oscillator,Osc 2 wave shape,,25,,0,127,,,,,,,0-based,,
Meris,Enzo X,Oscillator,Osc 2 pitch offset,,26,,0,127,,,,,,,centered,,
Meris,Enzo X,Oscillator,Osc 2 detune,,27,,0,127,,,,,,,0-based,,
