manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Meris,Mercury X,General,Mix,,1,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Dry trim,,2,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Wet trim,,3,,0,127,,,,,,,0-based,,
Meris,Mercury X,Global / Control,Expression pedal,,4,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Preamp type,,5,,0,127,,,,,,,0-based,,0-25: Off; 26-51: Volume pedal; 52-76: Tube; 77-102: Transistor; 103-127: Op-amp
Meris,Mercury X,General,Preamp location,,6,,0,127,,,,,,,0-based,,0-25: Pre + dry; 26-51: Pre; 52-76: Fdbk; 77-102: Pre tank; 103-127: Post
Meris,Mercury X,Drive,Gain/volume pedal level,,7,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Balance,,8,,0,127,,,,,,,centered,,
Meris,Mercury X,General,Preamp level,,11,,0,127,,,,,,,0-based,,
Meris,Mercury X,Delay,Delay structure,,13,,0,127,,,,,,,0-based,,0-63: Standard; 64-127: Reverse
Meris,Mercury X,Global / Control,Bypass,,14,,0,127,,,,,,,0-based,,0-63: Fx bypass; 64-127: Fx enable
Meris,Mercury X,General,Time,,15,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Type,,16,,0,127,,,,,,,0-based,,0-42: Digital; 43-85: Bbd; 86-127: Magnetic
Meris,Mercury X,General,Left note division,,17,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Right note division,,18,,0,127,,,,,,,0-based,,
Meris,Mercury X,Delay,Feedback,,19,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Cross feedback,,20,,0,127,,,,,,,0-based,,
Meris,Mercury X,Modulation,Modulation,,21,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Damping,,22,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Dry blend,,23,,0,127,,,,,,,0-based,,
Meris,Mercury X,General,Half speed,,24,,0,127,,,,,,,0-based,,
Meris,Mercury X,Global / Control,Midi clock,,28,,0,127,,,,,,,0-based,,
Meris,Mercury X,Ambience,Reverb structure,,32,,0,127,,,,,,,0-based,,0-15: Ultraplate; 16-31: Cathedra; 32-47: Spring; 48-63: 78 room; 64-79: 78 plate; 80-95: 78 hall; 96-111: Prism; 112-127: Gravity
