manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Modal Craft,Synth 2,,MOD Wheel,,1,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Glide,,5,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Phones VOL,,7,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,EXP Pedal,,11,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Dist MIX,,12,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Delay MIX,,13,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Delay Time,,14,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Delay FBK,,15,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC1 Wave,,16,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC2 Wave,,17,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC MIX,,18,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC MOD AMT,,19,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Spread,,20,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter ENV ATK,,22,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter ENV DCY,,23,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter ENV SUS,,24,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter ENV REL,,25,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,AMP ENV ATK,,26,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,AMP ENV DCY,,27,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,AMP ENV SUS,,28,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,AMP ENV REL,,29,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC2 Coarse,,30,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC2 Fine,,31,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter ENV AMT,,32,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Morph,,33,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter Cutoff,,34,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Filter Resonance,,35,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO1 Rate,,36,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO1 Depth,,37,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO1 Shape,,39,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Octave,,40,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,OSC MOD Mode,,41,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,MOD ENV ATK,,43,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,MOD ENV DCY,,44,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,MOD ENV SUS,,45,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,MOD ENV REL,,46,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO2 Rate,,47,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO2 Depth,,48,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO2 Shape,,50,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,AMP ENV AMT,,51,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO1 Midi Sync,,52,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO2 Midi Sync,,54,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Delay Midi Sync,,55,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO1 Mode,,56,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,LFO2 Mode,,57,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,ARP ON OFF,,58,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Sustain Pedal,,64,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Scale,,73,,0,127,,,,,0-based,,
Modal Craft,Synth 2,,Root Note,,79,,0,127,,,,,0-based,,
