manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Modal Electronics,ARGON8M,,Bank Change,,,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,MOD Wheel,,1,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,WAV MOD1,,3,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Glide,,5,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Main Volume,,7,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Voice Mode,,9,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Expression Pedal,,11,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Distortion,,12,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,WAV MOD2,,13,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC1 Tune,,14,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC1 Fine,,15,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC1 Shape,,16,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC2 Shape,,17,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC MIX,,18,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC MOD,,19,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Spread,,20,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC MOD Mode,,21,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,FEG Attack,,22,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,FEG Decay,,23,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,FEG Sustain,,24,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,FEG Release,,25,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,AEG Attack,,26,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,AEG Decay,,27,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,AEG Sustain,,28,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,AEG Release,,29,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC2 Tune,,30,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,OSC2 Fine,,31,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,FEG Amount,,32,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Morph,,33,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Cutoff,,34,,0,127,,,,,0-based,,
Modal Electronics,ARGON8M,,Resonance,,35,,0,127,,,,,0-based,,
