manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Modal Electronics,Cobalt 5s,,Bank Change,,,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Wheel,,1,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Glide,,5,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Main Volume,,7,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Voice Mode,,9,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Touchpad Z,,11,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC1 Tune,,14,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC1 Fine,,15,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC1 Param A,,16,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC2 Param A,,17,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC MIX,,18,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC1 Param B,,19,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC2 Param B,,20,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,FEG Attack,,22,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,FEG Decay,,23,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,FEG Sustain,,24,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,FEG Release,,25,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,AEG Attack,,26,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,AEG Decay,,27,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,AEG Sustain,,28,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,AEG Release,,29,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC2 Tune,,30,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC2 Fine,,31,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,FEG Amount,,32,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Morph,,33,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Cutoff,,34,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Resonance,,35,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO1 Rate,,36,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO1 Depth,,37,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO1 Shape,,39,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Octave,,40,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Filter Type,,42,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MEG Attack,,43,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MEG Decay,,44,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MEG Sustain,,45,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MEG Release,,46,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO2 Rate,,47,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO2 Depth,,48,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MEG Depth,,49,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO2 Shape,,50,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,AEG Depth,,51,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO Midi Sync,,52,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ARP Gate,,53,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Delay Midi Sync,,55,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO1 Mode,,56,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,LFO2 Mode,,57,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ARP Status,,58,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ARP Octave,,59,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ARP Direction,,60,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ARP Division,,61,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC1 Algorithm,,62,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,OSC2 Algorithm,,63,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Sustain Pedal,,64,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Length,,67,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Mute,,68,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Clear,,69,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Hold,,70,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Loop,,71,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Record,,72,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Transpose,,75,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Swing,,78,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,SEQ Quantise,,79,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,AEG Type,,80,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,FEG Type,,81,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MEG Type,,82,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Attack,,84,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Decay,,85,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Sustain,,86,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Release,,87,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot1 Depth,,88,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot2 Depth,,89,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot3 Depth,,90,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot4 Depth,,91,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot5 Depth,,92,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot6 Depth,,93,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot7 Depth,,94,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot8 Depth,,95,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot1 Source,,100,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot2 Source,,101,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot3 Source,,102,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot4 Source,,103,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot5 Source,,104,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot6 Source,,105,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot7 Source,,106,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot8 Source,,107,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot1 Dest,,108,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot2 Dest,,109,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot3 Dest,,110,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot4 Dest,,111,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot5 Dest,,112,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot6 Dest,,113,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot7 Dest,,114,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,MOD Slot8 Dest,,115,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Touchpad X,,117,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Touchpad Y,,118,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Patch Gain,,119,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ALL Sound OFF,,120,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Reset ALL Controllers,,121,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,ALL Notes OFF,,123,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Omni OFF,,124,,0,127,,,,,0-based,,
Modal Electronics,Cobalt 5s,,Omni ON,,125,,0,127,,,,,0-based,,
