manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Modal Electronics,Craft,General,Modulation wheel,,1,,0,127,,,,,,,0-based,,
Modal Electronics,Craft,General,Glide,,5,,0,127,,,,,,,0-based,Exponential,0~127: 0 to 2.5 seconds
Modal Electronics,Craft,General,Headphone volume,,7,,0,127,,,,,,,0-based,,
Modal Electronics,Craft,General,Expression pedal,,11,,0,127,,,,,,,0-based,,
Modal Electronics,Craft,General,Morph,,33,,0,127,,,,,,,0-based,,0: LP; 64: BP; 127: HP
Modal Electronics,Craft,General,Octave,,40,,0,127,,,,,,,0-based,Octaves -2 to +4,
Modal Electronics,Craft,General,Osc-Mod mode,,41,,0,127,,,,,,,0-based,16 Modes,
Modal Electronics,Craft,General,Delay MIDI sync,,55,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Modal Electronics,Craft,General,Arp status,,58,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Modal Electronics,Craft,General,Sustain pedal,,64,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Modal Electronics,Craft,VCO,Osc1 wave,,16,,0,127,,,,,,,0-based,,
Modal Electronics,Craft,VCO,Osc2 wave,,17,,0,127,,,,,,,0-based,,
Modal Electronics,Craft,VCO,Osc mix,,18,,0,127,,,,,,,centered,Osc1 - Osc2,
Modal Electronics,Craft,VCO,Osc-Mod amount,,19,,0,127,,,,,,,0-based,0 - Full,
Modal Electronics,Craft,VCO,Spread,,20,,0,127,,,,,,,0-based,,0-63: Unison; 64-70: Major; 71-77: Minor; 78-84: Major 6th; 85-91: Sus 4th; 92-98: 5ths; 99-105: 5th + Oct; 106-112: Oct + 1 + 2; 113-119: Oct + 1 - 1; 119-127: Oct - 1 - 2
Modal Electronics,Craft,VCO,Osc2 coarse detune,,30,,0,127,,,,,,,0-based,+/- 4 Octaves,
Modal Electronics,Craft,VCO,Osc2 fine detune,,31,,0,127,,,,,,,0-based,-/+ 1 Semitone,
Modal Electronics,Craft,VCA,AEG attack,,26,,0,127,,,,,,,0-based,0-4 Seconds,
Modal Electronics,Craft,VCA,AEG decay,,27,,0,127,,,,,,,0-based,0-4 Seconds,
Modal Electronics,Craft,VCA,AEG sustain,,28,,0,127,,,,,,,0-based,0-1,
Modal Electronics,Craft,VCA,AEG release,,29,,0,127,,,,,,,0-based,0-4 Seconds,
Modal Electronics,Craft,VCA,AEG amount,,51,,0,127,,,,,,,centered,,
Modal Electronics,Craft,VCF,Cutoff,,34,,0,127,,,,,,,0-based,0Hz - 22kHz,
Modal Electronics,Craft,VCF,Resonance,,35,,0,127,,,,,,,0-based,None-Full,
Modal Electronics,Craft,VCF,FEG attack,,22,,0,127,,,,,,,0-based,0-4 Seconds,
Modal Electronics,Craft,VCF,FEG decay,,23,,0,127,,,,,,,0-based,0-4 Seconds,
Modal Electronics,Craft,VCF,FEG sustain,,24,,0,127,,,,,,,0-based,0-1,
Modal Electronics,Craft,VCF,FEG release,,25,,0,127,,,,,,,0-based,0-4 Seconds,
Modal Electronics,Craft,VCF,FEG amount,,32,,0,127,,,,,,,centered,,
Modal Electronics,Craft,FX,Distortion,,12,,0,127,,,,,,,0-based,Dry - Wet,
Modal Electronics,Craft,FX,Delay,,13,,0,127,,,,,,,0-based,Dry - Wet,
Modal Electronics,Craft,FX,Delay time,,14,,0,127,,,,,,,0-based,"No Sync: 0 - 250 milliseconds / Sync: 8 steps, Longest delay time possible divided down ",
Modal Electronics,Craft,FX,Delay feedback,,15,,0,127,,,,,,,0-based,0% - 90%,
Modal Electronics,Craft,LFO,LFO1 unsynced rate,,36,,0,127,,,,,,,0-based,"Depends on LFO1 MIDI Sync, CC 52",0~127: 0.02Hz to 32Hz
