manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Modal,Skulpt,General,Seq load,,0,,0,63,,,,,0-based,,
Modal,Skulpt,Mod wheel,Modulation wheel,,1,,0,63,,,,,0-based,,
Modal,Skulpt,General,Glide,,5,,0,127,,,,,0-based,0 - 2.5 seconds; exponential,
Modal,Skulpt,General,Headphone volume,,7,,0,127,,,,,0-based,,
Modal,Skulpt,General,Voice mode,,9,,0,127,,,,,0-based,,0-42: Mono; 43-85: Duo; 86-127: Poly
Modal,Skulpt,General,Expression pedal,,11,,0,63,,,,,0-based,Min and max values need verification,
Modal,Skulpt,Effects,Distortion,,12,,0,127,,,,,0-based,,
Modal,Skulpt,Effects,Delay,,13,,0,127,,,,,0-based,,
Modal,Skulpt,Effects,Delay time,,14,,0,127,,,,,0-based,No sync: 0-250ms. Sync: 8 steps with longest delay time possible divided down.,
Modal,Skulpt,Effects,Delay feedback,,15,,0,127,,,,,0-based,Ranges from 0-90%,
Modal,Skulpt,Oscillators,OSC1 wave,,16,,0,127,,,,,0-based,,0-21: Sine; 22-42: Tri; 43-63: Saw; 64-127: PWM
Modal,Skulpt,Oscillators,OSC2 wave,,17,,0,127,,,,,0-based,,0-21: Sine; 22-42: Tri; 43-63: Saw; 64-85: Square; 86-127: White noise
Modal,Skulpt,Oscillators,OSC mix,,18,,0,127,,,,,0-based,Orientation needs verification,
Modal,Skulpt,Oscillators,FM amount,,19,,0,127,,,,,Centered,Plus or minus 2 octaves. Orientation needs verification.,
Modal,Skulpt,Oscillators,Spread,,20,,0,127,,,,,0-based,,0-63: Unison; 64-70: Major; 71-77: Minor; 78-84: Major 6th; 85-91: Sus 4th; 92-98: 5ths; 99-105: 5th + oct; 106-112: oct + 1 + 2; 113-119: oct + 1 - 1; 119-127: oct - 1 - 2
Modal,Skulpt,Oscillators,Chord mode,,21,,0,127,,,,,0-based,,0-63: Off; 64-127: On
Modal,Skulpt,Envelopes,FEG attack,,22,,0,127,,,,,0-based,0-4 seconds,
Modal,Skulpt,Envelopes,FEG decay,,23,,0,127,,,,,0-based,0-2 seconds,
Modal,Skulpt,Envelopes,FEG sustain,,24,,0,127,,,,,0-based,0-1 seconds,
Modal,Skulpt,Envelopes,FEG release,,25,,0,127,,,,,0-based,0-4 seconds,
Modal,Skulpt,Envelopes,AEG attack,,26,,0,127,,,,,0-based,0-4 seconds,
Modal,Skulpt,Envelopes,AEG decay,,27,,0,127,,,,,0-based,0-2 seconds,
Modal,Skulpt,Envelopes,AEG sustain,,28,,0,127,,,,,0-based,0-1 seconds,
Modal,Skulpt,Envelopes,AEG release,,29,,0,127,,,,,0-based,0-4 seconds,
Modal,Skulpt,Oscillators,OSC2 course detune,,30,,0,127,,,,,0-based,Plus or minus 4 octaves,
Modal,Skulpt,Oscillators,OSC2 fine detune,,31,,0,127,,,,,0-based,Plus or minus 1 semitone,
Modal,Skulpt,Envelopes,FEG amount,,32,,0,127,,,,,Centered,,
