manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Modor,NF-1,,MOD Wheel,,1,,0,127,,,,,0-based,,
Modor,NF-1,,Breath Contrl,,2,,0,127,,,,,0-based,,
Modor,NF-1,,MOD CC3,,3,,0,127,,,,,0-based,,
Modor,NF-1,,Expr PED,,4,,0,127,,,,,0-based,,
Modor,NF-1,,Portamento,,5,,0,127,,,,,0-based,,
Modor,NF-1,,Volume,,7,,0,127,,,,,0-based,,
Modor,NF-1,,PAN,,10,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 MOD LFO1,,13,,0,127,,,,,0-based,,
Modor,NF-1,,OSC2 MOD LFO1,,14,,0,127,,,,,0-based,,
Modor,NF-1,,OSC3 MOD LFO1,,15,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 MOD ENV2,,16,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 MOD ENV3,,17,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 MOD ENV4,,18,,0,127,,,,,0-based,,
Modor,NF-1,,Pitch ENV1,,19,,0,127,,,,,0-based,,
Modor,NF-1,,Pitch LFO SH,,20,,0,127,,,,,0-based,,
Modor,NF-1,,Comb FLT Dpth,,21,,0,127,,,,,0-based,,
Modor,NF-1,,Comb FLT Dlay,,22,,0,127,,,,,0-based,,
Modor,NF-1,,LFO2 Speed,,23,,0,127,,,,,0-based,,
Modor,NF-1,,Comb FLT Fdbk,,24,,0,127,,,,,0-based,,
Modor,NF-1,,Comb FLT SPD,,26,,0,127,,,,,0-based,,
Modor,NF-1,,Comb FLT MIX,,27,,0,127,,,,,0-based,,
Modor,NF-1,,Delay Time,,28,,0,127,,,,,0-based,,
Modor,NF-1,,Delay Filtr,,29,,0,127,,,,,0-based,,
Modor,NF-1,,Delay MIX,,30,,0,127,,,,,0-based,,
Modor,NF-1,,Filter ENV2,,31,,0,127,,,,,0-based,,
Modor,NF-1,,Bank Select,,32,,0,127,,,,,0-based,,
Modor,NF-1,,Filter LFO2,,37,,0,127,,,,,0-based,,
Modor,NF-1,,Filter Keyb,,38,,0,127,,,,,0-based,,
Modor,NF-1,,Formant ENV3,,39,,0,127,,,,,0-based,,
Modor,NF-1,,Formant LFO2,,40,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel1 VOL,,41,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel2 VOL,,42,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel3 VOL,,43,,0,127,,,,,0-based,,
Modor,NF-1,,Wire1 Amount,,44,,0,127,,,,,0-based,,
Modor,NF-1,,Wire2 Amount,,45,,0,127,,,,,0-based,,
Modor,NF-1,,Wire3 Amount,,46,,0,127,,,,,0-based,,
Modor,NF-1,,Wire4 Amount,,47,,0,127,,,,,0-based,,
Modor,NF-1,,Wire5 Amount,,48,,0,127,,,,,0-based,,
Modor,NF-1,,Wire6 Amount,,49,,0,127,,,,,0-based,,
Modor,NF-1,,Wire7 Amount,,50,,0,127,,,,,0-based,,
Modor,NF-1,,Delay Feedb,,51,,0,127,,,,,0-based,,
Modor,NF-1,,LFO3 Speed,,52,,0,127,,,,,0-based,,
Modor,NF-1,,Sand H Speed,,53,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 Coarse,,55,,0,127,,,,,0-based,,
Modor,NF-1,,OSC2 Coarse,,56,,0,127,,,,,0-based,,
Modor,NF-1,,OSC3 Coarse,,57,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 Fine,,58,,0,127,,,,,0-based,,
Modor,NF-1,,OSC2 Fine,,59,,0,127,,,,,0-based,,
Modor,NF-1,,OSC3 Fine,,60,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 VOL,,61,,0,127,,,,,0-based,,
Modor,NF-1,,OSC2 VOL,,62,,0,127,,,,,0-based,,
Modor,NF-1,,OSC3 VOL,,63,,0,127,,,,,0-based,,
Modor,NF-1,,SUS Pedal,,64,,0,127,,,,,0-based,,
Modor,NF-1,,OSC1 MOD,,65,,0,127,,,,,0-based,,
Modor,NF-1,,OSC2 MOD,,66,,0,127,,,,,0-based,,
Modor,NF-1,,OSC3 MOD,,67,,0,127,,,,,0-based,,
Modor,NF-1,,Filter Type,,68,,0,127,,,,,0-based,,
Modor,NF-1,,Noise Level,,70,,0,127,,,,,0-based,,
Modor,NF-1,,Filter Freq,,71,,0,127,,,,,0-based,,
Modor,NF-1,,Formnt Mrph,,72,,0,127,,,,,0-based,,
Modor,NF-1,,Formant MIX,,73,,0,127,,,,,0-based,,
Modor,NF-1,,Filter Reso,,74,,0,127,,,,,0-based,,
Modor,NF-1,,LFO1 Speed,,75,,0,127,,,,,0-based,,
Modor,NF-1,,Filtr Drive,,76,,0,127,,,,,0-based,,
Modor,NF-1,,Ring Volume,,77,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 T1,,78,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 T1,,79,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 T1,,80,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 T1,,81,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 T2,,82,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 T2,,83,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 T2,,84,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 T2,,85,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 T3,,86,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 T3,,87,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 T3,,88,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 T3,,89,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 T4,,90,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 T4,,91,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 T4,,92,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 T4,,93,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 L1,,94,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 L1,,95,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 L1,,96,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 L1,,97,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 L2,,98,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 L2,,99,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 L2,,100,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 L2,,101,,0,127,,,,,0-based,,
Modor,NF-1,,ENV1 L3,,102,,0,127,,,,,0-based,,
Modor,NF-1,,ENV2 L3,,103,,0,127,,,,,0-based,,
Modor,NF-1,,ENV3 L3,,104,,0,127,,,,,0-based,,
Modor,NF-1,,ENV4 L3,,105,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel1 FRM1,,106,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel1 FRM2,,107,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel1 FRM3,,108,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel1 FRM4,,109,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel2 FRM1,,110,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel2 FRM2,,111,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel2 FRM3,,112,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel2 FRM4,,113,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel3 FRM1,,114,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel3 FRM2,,115,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel3 FRM3,,116,,0,127,,,,,0-based,,
Modor,NF-1,,Vowel3 FRM4,,117,,0,127,,,,,0-based,,
Modor,NF-1,,ALL Notes OFF,,127,,0,127,,,,,0-based,,
