manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Moog,Subharmonicon,VCO 1,VCO 1 frequency,,4,36,0,16383,0,,,,,,centered,,0~16383: -2.5 octaves to +2.5 octaves
Moog,Subharmonicon,VCO 1,VCO 1 SUB 1 frequency,,103,,0,127,0,,,,,,0-based,,0-17: Integer value 16; 8-15: Integer value 15; 16-23: Integer value 14; 24-31: Integer value 13; 32-39: Integer value 12; 40-47: Integer value 11; 48-55: Integer value 10; 56-63: Integer value 9; 64-71: Integer value 8; 72-79: Integer value 7; 80-87: Integer value 6; 88-95: Integer value 5; 96-103: Integer value 4; 104-111: Integer value 3; 112-119: Integer value 2; 120-127: Integer value 1
Moog,Subharmonicon,VCO 1,VCO 1 SUB 2 frequency,,104,,0,127,0,,,,,,0-based,,0-17: Integer value 16; 8-15: Integer value 15; 16-23: Integer value 14; 24-31: Integer value 13; 32-39: Integer value 12; 40-47: Integer value 11; 48-55: Integer value 10; 56-63: Integer value 9; 64-71: Integer value 8; 72-79: Integer value 7; 80-87: Integer value 6; 88-95: Integer value 5; 96-103: Integer value 4; 104-111: Integer value 3; 112-119: Integer value 2; 120-127: Integer value 1
Moog,Subharmonicon,VCO 2,VCO 2 frequency,,12,44,0,16383,0,,,,,,centered,,0~16383: -2.5 octaves to +2.5 octaves
Moog,Subharmonicon,VCO 2,VCO 2 SUB 1 frequency,,105,,0,127,0,,,,,,0-based,,0-17: Integer value 16; 8-15: Integer value 15; 16-23: Integer value 14; 24-31: Integer value 13; 32-39: Integer value 12; 40-47: Integer value 11; 48-55: Integer value 10; 56-63: Integer value 9; 64-71: Integer value 8; 72-79: Integer value 7; 80-87: Integer value 6; 88-95: Integer value 5; 96-103: Integer value 4; 104-111: Integer value 3; 112-119: Integer value 2; 120-127: Integer value 1
Moog,Subharmonicon,VCO 2,VCO 2 SUB 2 frequency,,106,,0,127,0,,,,,,0-based,,0-17: Integer value 16; 8-15: Integer value 15; 16-23: Integer value 14; 24-31: Integer value 13; 32-39: Integer value 12; 40-47: Integer value 11; 48-55: Integer value 10; 56-63: Integer value 9; 64-71: Integer value 8; 72-79: Integer value 7; 80-87: Integer value 6; 88-95: Integer value 5; 96-103: Integer value 4; 104-111: Integer value 3; 112-119: Integer value 2; 120-127: Integer value 1
Moog,Subharmonicon,VCF EG,VCF EG attack,,23,55,0,16383,0,,,,,,0-based,,0~16383: VCF EG attack amount
Moog,Subharmonicon,VCF EG,VCF EG decay,,24,56,0,16383,0,,,,,,0-based,,0~16383: VCF EG decay amount
Moog,Subharmonicon,VCA EG,VCA EG attack,,28,60,0,16383,0,,,,,,0-based,,0~16383: VCA EG attack amount
Moog,Subharmonicon,VCA EG,VCA EG decay,,29,61,0,16383,0,,,,,,0-based,,0~16383: VCA EG decay amount
Moog,Subharmonicon,General,Rhythm generator logic,,113,,0,127,0,,,,,,0-based,,0-63: OR (advance the sequencer on either or both clocks); 64-127: XOR (advance the sequencer on exactly one clock)
