manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Mutable Instruments,Shruthi 1,,OSC1 Shape,,20,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,OSC1 Parameter,,21,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,OSC1 Range,,22,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,SUB OR Transient Shape,,23,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,OSC2 Shape,,24,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,OSC2 Parameter,,25,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,OSC2 Range,,26,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,OSC2 Detune,,27,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,Modulation Operator,,28,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,Osc12 Balance,,29,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,SUB OSC Volume,,30,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,Noise Volume,,31,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV TO Cutoff AMT,,102,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO TO Cutoff AMT,,103,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV1 Attack,,104,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV1 Decay,,105,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV1 Sustain,,106,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV1 Release,,107,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV2 Attack,,108,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV2 Decay,,109,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV2 Sustain,,110,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,ENV2 Release,,111,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO1 Waveform,,112,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO1 Rate,,113,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO1 Rise Time,,114,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO1 Tempo Sync,,115,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO2 Waveform,,116,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO2 Rate,,117,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO2 Rise Time,,118,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,LFO2 Tempo Sync,,119,,0,127,,,,,0-based,,
Mutable Instruments,Shruthi 1,,Filter Cutoff,,,,,,15,74,0,16383,0-based,,
Mutable Instruments,Shruthi 1,,Filter Resonance,,,,,,15,71,0,16383,0-based,,
