manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
NUX,NDD-7,Tape Echo,Enable,,0,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Position,,1,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Saturation,,2,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Wow,,3,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Flutter ,,4,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Killdry,,5,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Time,,6,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Repeat,,7,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Level,,8,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Reverb,,9,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Bass,,10,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Treble,,11,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Exp,,12,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Age,,13,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Rount,,14,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,NDD-7,Tape Echo,Sync,,15,,0,127,,,,,0-based,Configurable through TapeEcho App,
