manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
NUX,Tape Echo NDD-7,General,Enable,,0,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Position,,1,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Saturation,,2,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Wow,,3,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Flutter ,,4,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Kill dry,,5,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Time,,6,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Repeat,,7,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Level,,8,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Reverb,,9,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Bass,,10,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Treble,,11,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Exp,,12,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Age,,13,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Rount,,14,,0,127,,,,,0-based,Configurable through TapeEcho App,
NUX,Tape Echo NDD-7,General,Sync,,15,,0,127,,,,,0-based,Configurable through TapeEcho App,
