manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Neural DSP,Nano Cortex,Pedals,Expression Pedal,,1,,0,127,,,,,,,0-based,Requires EXP/MIDI operation mode to be set to Expression Pedal,0: Heel Position; 127: Toe Position
Neural DSP,Nano Cortex,Slot bypass,Input Gate Slot Bypass,,34,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,Capture Slot Bypass,,35,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,Cab/IR Slot Bypass,,36,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,FX Slot 1 Bypass,,37,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,FX Slot 2 Bypass,,38,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,FX Slot 3 Bypass,,39,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,FX Slot 4 Bypass,,40,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Slot bypass,FX Slot 5 Bypass,,41,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Neural DSP,Nano Cortex,Global controls,Tap Tempo,,42,,0,127,,,,,,,0-based,,0-127: Tap
Neural DSP,Nano Cortex,Global controls,Tuner Access,,43,,0,127,,,,,,,0-based,,0-63: Tuner Off; 64-127: Tuner On
