manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Norand,Mono,,Level,,7,,0,127,,,,,0-based,,
Norand,Mono,,Reset Modulator Phase,,14,,0,127,,,,,0-based,,
Norand,Mono,,GO TO Step,,15,,0,127,,,,,0-based,,
Norand,Mono,,Attack,,43,,0,127,,,,,0-based,,
Norand,Mono,,Decay,,44,,0,127,,,,,0-based,,
Norand,Mono,,Sustain,,45,,0,127,,,,,0-based,,
Norand,Mono,,Release,,46,,0,127,,,,,0-based,,
Norand,Mono,,Filter ENV Amount,,47,,0,127,,,,,0-based,,
Norand,Mono,,OSC1 Freq,,48,,0,127,,,,,0-based,,
Norand,Mono,,OSC1 Detune,,49,,0,127,,,,,0-based,,
Norand,Mono,,OSC1 WAV,,50,,0,127,,,,,0-based,,
Norand,Mono,,OSC1 VOL,,51,,0,127,,,,,0-based,,
Norand,Mono,,FM Amount,,52,,0,127,,,,,0-based,,
Norand,Mono,,Sync,,53,,0,127,,,,,0-based,,
Norand,Mono,,OSC2 Freq,,54,,0,127,,,,,0-based,,
Norand,Mono,,OSC2 Detune,,55,,0,127,,,,,0-based,,
Norand,Mono,,OSC2 WAV,,56,,0,127,,,,,0-based,,
Norand,Mono,,OSC2 Volume,,57,,0,127,,,,,0-based,,
Norand,Mono,,Cutoff,,74,,0,127,,,,,0-based,,
Norand,Mono,,RES,,75,,0,127,,,,,0-based,,
Norand,Mono,,Color,,76,,0,127,,,,,0-based,,
Norand,Mono,,Follow Filter,,77,,0,127,,,,,0-based,,
Norand,Mono,,X MOD Rate,,78,,0,127,,,,,0-based,,
Norand,Mono,,X MOD Amount,,79,,0,127,,,,,0-based,,
Norand,Mono,,X ENV Attack,,80,,0,127,,,,,0-based,,
Norand,Mono,,X ENV Decay,,81,,0,127,,,,,0-based,,
Norand,Mono,,X ENV Amount,,82,,0,127,,,,,0-based,,
Norand,Mono,,X ENV Type,,83,,0,127,,,,,0-based,,
Norand,Mono,,X MOD WAV,,84,,0,127,,,,,0-based,,
