manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Nord,C2,General,Drawbar/Perc Presets *,,3,,0,127,,,,,,,0-based,,
Nord,C2,Pedals & Switches,Swell Pedal,,4,,0,127,,,,,,,0-based,,
Nord,C2,General,Perc. Fast Decay 19 USB Connection,,6,,0,127,,,,,,,0-based,,
Nord,C2,General,Sending program dumps Organ Model Selector,,9,,0,127,,,,,,,0-based,,
Nord,C2,General,Drawbar/Perc Preset Buttons,,11,,0,127,,,,,,,0-based,,
Nord,C2,General,Drawbar 1 *,,16,,0,127,,,,,,,0-based,,
Nord,C2,General,Drawbar 2 *,,17,,0,127,,,,,,,0-based,,
Nord,C2,Pedals & Switches,Sustain Pedal Configuration,,17,,0,127,,,,,,,0-based,,
Nord,C2,General,Receive MIDI SysEx dumps Drawbar 3 *,,18,,0,127,,,,,,,0-based,,
Nord,C2,General,Drawbar 5 *,,20,,0,127,,,,,,,0-based,,
Nord,C2,General,Drawbar 8 *,,23,,0,127,,,,,,,0-based,,
Nord,C2,Pedals & Switches,on page 15). Sustain Pedal,,64,,0,127,,,,,,,0-based,,
Nord,C2,Delay,Delay Swell Only,,75,,0,127,,,,,,,0-based,,
Nord,C2,Delay,Delay Amount,,76,,0,127,,,,,,,0-based,,
Nord,C2,Delay,Delay Tempo,,77,,0,127,,,,,,,0-based,,
Nord,C2,General,receiving device. Speaker Sel,,81,,0,127,,,,,,,0-based,,
Nord,C2,General,Vib/Chorus/Trem Mode,,84,,0,127,,,,,,,0-based,,
Nord,C2,General,Perc On/Off,,87,,0,127,,,,,,,0-based,,
Nord,C2,Reverb,Reverb Selection,,96,,0,127,,,,,,,0-based,,
Nord,C2,Reverb,Reverb Amount,,102,,0,127,,,,,,,0-based,,
Nord,C2,General,Ped/GR Low coupler,,103,,0,127,,,,,,,0-based,,
Nord,C2,General,Drive On/Off,,112,,0,127,,,,,,,0-based,,
Nord,C2,EQ,EQ Treble,,113,,0,127,,,,,,,0-based,,
Nord,C2,EQ,EQ Bass,,114,,0,127,,,,,,,0-based,,
Nord,C2,General,Ped Great Man,,117,,0,127,,,,,,,0-based,,
