manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Nord,Drum 2,,Level,,7,,0,127,,,,,0-based,,
Nord,Drum 2,,PAN,,10,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Filter Freq,,14,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Filter Type,,15,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Filter ENV,,16,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Filter RES,,17,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Attack Rate,,18,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise ATK Mode,,19,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Decay Type,,20,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Decay,,21,,0,127,,,,,0-based,,
Nord,Drum 2,,Noise Decay LO,,22,,0,127,,,,,0-based,,
Nord,Drum 2,,Dist Amount,,23,,0,127,,,,,0-based,,
Nord,Drum 2,,Dist Type,,24,,0,127,,,,,0-based,,
Nord,Drum 2,,EQ Frequency,,25,,0,127,,,,,0-based,,
Nord,Drum 2,,EQ Gain,,26,,0,127,,,,,0-based,,
Nord,Drum 2,,Echo Feedback,,27,,0,127,,,,,0-based,,
Nord,Drum 2,,Echo Amount,,28,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Spectra,,30,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Wave,,46,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Timbre Decay,,47,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Punch,,48,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Decay Type,,49,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Decay,,50,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone DEC LO,,51,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Timbre,,52,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Timb ENV,,53,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Bend Amount,,54,,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Bend Time,,55,,0,127,,,,,0-based,,
Nord,Drum 2,,Click Level,,56,,0,127,,,,,0-based,,
Nord,Drum 2,,Click Type,,57,,0,127,,,,,0-based,,
Nord,Drum 2,,MIX Balance,,58,,0,127,,,,,0-based,,
Nord,Drum 2,,Mute Group,,59,,0,127,,,,,0-based,,
Nord,Drum 2,,Channel Focus,,70,,0,127,,,,,0-based,,
Nord,Drum 2,,Bank Select,,32,32,0,127,,,,,0-based,,
Nord,Drum 2,,Tone Pitch,,31,63,0,127,,,,,0-based,,
Nord,Drum 2,,Echo BPM,,29,61,0,127,,,,,0-based,,
