manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Nord,Drum 3P,,Bank Select MSB,,0,,0,127,,,,,0-based,,
Nord,Drum 3P,,Level,,7,,0,127,,,,,0-based,,
Nord,Drum 3P,,PAN,,10,,0,127,,,,,0-based,,
Nord,Drum 3P,,Reverb Type,,12,,0,127,,,,,0-based,,
Nord,Drum 3P,,Reverb Color,,13,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise Filter Frequency,,14,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise Filter Type,,15,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise DYN Filter,,16,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise Filter Resonance,,17,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise Level,,18,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Level,,19,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise Decay Mode,,20,,0,127,,,,,0-based,,
Nord,Drum 3P,,Noise Decay,,21,,0,127,,,,,0-based,,
Nord,Drum 3P,,Dist Amount,,23,,0,127,,,,,0-based,,
Nord,Drum 3P,,Dist Type,,24,,0,127,,,,,0-based,,
Nord,Drum 3P,,EQ Frequency,,25,,0,127,,,,,0-based,,
Nord,Drum 3P,,EQ Gain,,26,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Spectra,,30,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Pitch MSB,,31,,0,127,,,,,0-based,,
Nord,Drum 3P,,Bank Select LSB,,32,,0,127,,,,,0-based,,
Nord,Drum 3P,,Delay Rate,,44,,0,127,,,,,0-based,,
Nord,Drum 3P,,Delay Feedback,,45,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Wave,,46,,0,127,,,,,0-based,,
Nord,Drum 3P,,Delay Amount,,47,,0,127,,,,,0-based,,
Nord,Drum 3P,,Reverb Amount,,48,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Decay Mode,,49,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Decay,,50,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Freq,,52,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone DYN Filter,,53,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Bend Amount,,54,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Bend Time,,55,,0,127,,,,,0-based,,
Nord,Drum 3P,,Click Level,,56,,0,127,,,,,0-based,,
Nord,Drum 3P,,Click Type,,57,,0,127,,,,,0-based,,
Nord,Drum 3P,,Mono Group,,59,,0,127,,,,,0-based,,
Nord,Drum 3P,,Tone Pitch LSB,,63,,0,127,,,,,0-based,,
Nord,Drum 3P,,Channel Select,,70,,0,127,,,,,0-based,,
