manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Nord,Grand 2,Mixer,Volume,,7,,0,127,,,,,,,0-based,,
Nord,Grand 2,Mixer,Pan,,10,,0,127,,,,,,,centered,,
Nord,Grand 2,Pedals & Switches,Ctrl Pedal (Expression),,11,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Enable,,17,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Bright/Dark,,18,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Type,,19,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Pre-Delay,,20,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Chorale,,21,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Acoustics,,22,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Pedal Noise,,23,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano KB Touch,,24,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Unison,,25,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Dyn Comp,,26,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Timbre,,27,,0,127,,,,,,,0-based,,
Nord,Grand 2,General,Compressor Global,,28,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Global,,29,,0,127,,,,,,,0-based,,
Nord,Grand 2,Effects,FX Focus,,31,,0,127,,,,,,,0-based,,
Nord,Grand 2,EQ,EQ Global,,33,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Layer A Level,,34,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Octave Shift,,35,,0,127,,,,,,,centered,,
Nord,Grand 2,Piano,Piano Sustain Pedal,,36,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Volume Pedal,,37,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Sustain Pedal,,42,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Layer A Level,,43,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Octave Shift,,44,,0,127,,,,,,,centered,,
Nord,Grand 2,Sample Synth,Sample Synth Vibrato Rate,,45,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Vibrato Amount,,46,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Volume Pedal,,47,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Glide Rate,,48,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Vibrato Mode,,50,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Vibrato Delay,,51,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Voice Mode,,52,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Unison,,53,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Dynamics,,54,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Bright/Soft,,55,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Layer B Level,,56,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Layer B Level,,57,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Layer Enable,,61,,0,127,,,,,,,0-based,,
Nord,Grand 2,Pedals & Switches,Sustain,,64,,0,127,,,,,,,0-based,,
Nord,Grand 2,Pedals & Switches,Sostenuto,,66,,0,127,,,,,,,0-based,,
Nord,Grand 2,Pedals & Switches,Soft Pedal,,67,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Attack,,68,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Decay/Release,,69,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Layer Enable,,72,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 1 Enable,,79,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 1 Type,,80,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 1 Ctrl Ped,,81,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 2 Type,,83,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 2 Mono,,84,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 1 Amount,,85,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 1 Rate,,86,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Flam,,87,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Filter Type,,88,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 2 Amount,,89,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 2 Rate,,90,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Ping Pong,,91,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Enable,,92,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Dry/Wet,,93,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Rate,,94,,0,127,,,,,,,0-based,,
Nord,Grand 2,Delay,Delay Feedback,,95,,0,127,,,,,,,0-based,,
Nord,Grand 2,EQ,EQ Bass Gain,,102,,0,127,,,,,,,0-based,,
Nord,Grand 2,EQ,EQ Mid Gain,,103,,0,127,,,,,,,0-based,,
Nord,Grand 2,EQ,EQ Treble,,104,,0,127,,,,,,,0-based,,
Nord,Grand 2,EQ,EQ Enable,,105,,0,127,,,,,,,0-based,,
Nord,Grand 2,Amp / Speaker,Amp Drive,,106,,0,127,,,,,,,0-based,,
Nord,Grand 2,EQ,EQ Mid Frequency,,107,,0,127,,,,,,,0-based,,
Nord,Grand 2,Amp / Speaker,Amp Enable,,108,,0,127,,,,,,,0-based,,
Nord,Grand 2,Piano,Piano Layer Focus,,109,,0,127,,,,,,,0-based,,
Nord,Grand 2,Amp / Speaker,Amp Type,,110,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Layer Send Enable,,112,,0,127,,,,,,,0-based,,
Nord,Grand 2,Reverb,Reverb Dry/Wet,,113,,0,127,,,,,,,0-based,,
Nord,Grand 2,Sample Synth,Sample Synth Layer Focus,,115,,0,127,,,,,,,0-based,,
Nord,Grand 2,General,Compressor Enable,,116,,0,127,,,,,,,0-based,,
Nord,Grand 2,General,Compressor Amount,,117,,0,127,,,,,,,0-based,,
Nord,Grand 2,Modulation,Mod 2 Enable,,118,,0,127,,,,,,,0-based,,
