manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Nord,Piano 4,Program Select,Bank Select MSB,,0,,0,127,,,,,,,0-based,"Value selects the content type; the manual documents this as Bank MSB (CC# 0), not as separate controllers",0: Program; 3: Piano; 4: Sample; 6: Live
Nord,Piano 4,General,KBD Split,,3,,0,127,,,,,,,0-based,,
Nord,Piano 4,Mixer,Volume,,7,,0,127,,,,,,,0-based,,
Nord,Piano 4,Mixer,Pan,,10,,0,127,,,,,,,centered,,
Nord,Piano 4,Pedals & Switches,Ctrl Pedal (Expression),,11,,0,127,,,,,,,0-based,,
Nord,Piano 4,Program Select,Bank Select LSB,,32,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Enable,,33,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Level,,34,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Octave Shift,,35,,0,127,,,,,,,centered,,
Nord,Piano 4,Piano,Piano EQ,,40,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Enable,,42,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Level,,43,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Octave Shift,,44,,0,127,,,,,,,centered,,
Nord,Piano 4,Sample Synth,Sample Synth Sustain Pedal,,45,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Ctrl Pedal,,46,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Sustain Pedal,,49,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Ctrl Pedal,,50,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano KBD Touch,,51,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Acoustics,,52,,0,127,,,,,,,0-based,,
Nord,Piano 4,Piano,Piano Pedal Noise,,53,,0,127,,,,,,,0-based,,
Nord,Piano 4,Pedals & Switches,Sustain,,64,,0,127,,,,,,,0-based,,
Nord,Piano 4,Pedals & Switches,Sostenuto,,66,,0,127,,,,,,,0-based,,
Nord,Piano 4,Pedals & Switches,Soft Pedal,,67,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Attack,,68,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Decay/Release,,69,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Amp,,72,,0,127,,,,,,,0-based,,
Nord,Piano 4,Sample Synth,Sample Synth Filter,,73,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 1 Enable,,82,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 1 Type,,83,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 1 Source,,84,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 1 Ctrl Ped,,85,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 1 Rate,,86,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 2 Type,,87,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 2 Source,,88,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 2 Deep,,89,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 2 Rate,,90,,0,127,,,,,,,0-based,,
Nord,Piano 4,Effects,Effect 2 Enable,,91,,0,127,,,,,,,0-based,,
Nord,Piano 4,Delay,Delay Source,,92,,0,127,,,,,,,0-based,,
Nord,Piano 4,Delay,Delay Dry/Wet,,93,,0,127,,,,,,,0-based,,
Nord,Piano 4,Delay,Delay Rate,,94,,0,127,,,,,,,0-based,,
Nord,Piano 4,Delay,Delay Feedback,,95,,0,127,,,,,,,0-based,,
Nord,Piano 4,Delay,Delay Enable,,97,,0,127,,,,,,,0-based,,
Nord,Piano 4,Amp / Speaker,Amp/Comp Type,,100,,0,127,,,,,,,0-based,,
Nord,Piano 4,EQ,EQ Bass,,102,,0,127,,,,,,,0-based,,
Nord,Piano 4,EQ,EQ Mid,,103,,0,127,,,,,,,0-based,,
Nord,Piano 4,EQ,EQ Treble,,104,,0,127,,,,,,,0-based,,
Nord,Piano 4,EQ,EQ Enable,,105,,0,127,,,,,,,0-based,,
Nord,Piano 4,EQ,EQ Source,,106,,0,127,,,,,,,0-based,,
Nord,Piano 4,EQ,EQ Mid Frequency,,107,,0,127,,,,,,,0-based,,
Nord,Piano 4,Reverb,Reverb Bright,,112,,0,127,,,,,,,0-based,,
Nord,Piano 4,Reverb,Reverb Dry/Wet,,113,,0,127,,,,,,,0-based,,
Nord,Piano 4,Reverb,Reverb Type,,115,,0,127,,,,,,,0-based,,
Nord,Piano 4,Reverb,Reverb Enable,,116,,0,127,,,,,,,0-based,,
Nord,Piano 4,Amp / Speaker,Amp/Comp Drive,,117,,0,127,,,,,,,0-based,,
Nord,Piano 4,Amp / Speaker,Amp/Comp Enable,,118,,0,127,,,,,,,0-based,,
Nord,Piano 4,Amp / Speaker,Amp/Comp Source,,119,,0,127,,,,,,,0-based,,
