manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Nord,Stage 2 EX,Synth,Synth Filter Vel/Env Mod,,2,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Preset II,,3,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Swell,,4,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Swell Pedal,,4,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Piano,Piano Slot Detune,,5,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Amp / Speaker,AmpSim Mid Range,,6,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Piano,Piano Type,,8,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 1,,9,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Pedals & Switches,Ctrl Pedal,,11,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Arp Mst Clk,,12,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Modulation,LFO Master Clk,,13,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 2,,14,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 3,,15,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 4,,16,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 5,,17,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 6,,18,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 7,,19,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 8,,20,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Drawbar 9,,21,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Percussion Enable,,22,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Model,,23,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Vibrato Type,,24,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Vibrato Enable,,25,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Percussion Harmonic,,26,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Percussion Speed,,27,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Organ,Organ Percussion Level,,28,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Piano,Piano Model,,29,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,General,Clav EQ 1,,30,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,General,Clav EQ 2,,31,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Piano,Piano Dynamics,,33,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Glide Rate,,34,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Voice Mode,,36,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Unison,,37,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Vibrato Mode,,38,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Mod Envelope Attack,,39,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Mod Envelope Decay,,40,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Mod Envelope Mode,,41,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Mod Envelope Velocity,,42,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Oscillator Mode,,43,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Oscillator Shape,,45,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Oscillator Shape Mod,,46,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Filter Frequency,,48,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Filter Resonance,,49,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Filter LFO Mod,,51,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Filter KBT (Keyb. track),,52,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Filter Type,,53,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Amp Envelope Attack,,54,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Amp Envelope Decay,,55,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Amp Envelope Mode,,56,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Synth,Synth Amp Envelope Velocity,,57,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 1 Type,,60,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 1 Source,,61,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 1 Amount,,62,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 1 Rate,,63,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Pedals & Switches,Pedal Sustain,,64,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,General,Clav Model/Type,,65,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Pedals & Switches,Pedal Latch,,66,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Pedals & Switches,Pedal Soft,,67,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,General,Slot Focus,,68,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 1 Enable,,69,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 2 Type,,70,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 2 Source,,71,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 2 Amount,,72,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 2 Rate,,73,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Effects,Effect 2 Enable,,74,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Delay,Delay Destination,,75,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Delay,Delay Amount,,76,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Delay,Delay Rate,,77,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Delay,Delay Feedback,,78,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Delay,Delay Ping Pong on/off,,79,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Delay,Delay Enable,,80,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Amp / Speaker,AmpSim Type,,81,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,General,Rotor Speed,,82,,0,127,,,,,,,0-based,,
Nord,Stage 2 EX,Pedals & Switches,Rotor Speed Pedal,,82,,0,127,,,,,,,0-based,,
