manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Novation,Bass Station 2,,Glide,,5,,0,127,,,,,0-based,,
Novation,Bass Station 2,,KB Octave,,117,,0,127,,,,,0-based,,
Novation,Bass Station 2,,PB Range,,107,,0,127,,,,,0-based,,
Novation,Bass Station 2,,OSC Sync,,110,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O1 Octave,,70,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O1 Coarse,,27,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O1 Fine,,26,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO1 O1 Pitch,,28,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 O1 Pitch,,71,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O1 Pulsewidth,,74,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO2 O1 PW,,73,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O2 Octave,,75,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O2 Coarse,,30,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O2 Fine,,29,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO1 O2 Pitch,,31,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 O2 Pitch,,76,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O2 Pulse Width,,79,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO2 O2 PW,,78,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 O2 Pulse Width,,77,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O3wave,,80,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O3 Octave,,81,,0,127,0,81,0,16383,0-based,,
Novation,Bass Station 2,,O1 LEV,,20,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O2 LEV,,21,,0,127,,,,,0-based,,
Novation,Bass Station 2,,O3 LEV,,22,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Noise LEV,,23,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Ringmod LEV,,24,,0,127,,,,,0-based,,
Novation,Bass Station 2,,EXT LEV,,25,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Master LEV,,7,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Filt Cutoff,,16,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Filt RES,,82,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Overdrive,,114,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Filt Type,,84,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Acid Classic,,83,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Filt Slope,,106,,0,127,,,,,0-based,,
Novation,Bass Station 2,,MOD ENV Filter,,85,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO2 Filt,,17,,0,127,,,,,0-based,,
Novation,Bass Station 2,,OSC Filter MOD,,115,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Distortion,,94,,0,127,,,,,0-based,,
Novation,Bass Station 2,,VCA Limit,,95,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV1 VEL,,112,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV1 ATT,,90,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV1 DEC,,91,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV1 SUS,,92,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV1 REL,,93,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 VEL,,113,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 ATT,,102,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 DEC,,103,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 SUS,,104,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ENV2 REL,,105,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO1 Wave,,88,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO1 Delay,,86,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO1 Rate,,18,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO2 Wave,,89,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO2 DEL,,87,,0,127,,,,,0-based,,
Novation,Bass Station 2,,LFO2 Rate,,19,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ARP ON,,108,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Keylatch,,109,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ARP Octs,,111,,0,127,,,,,0-based,,
Novation,Bass Station 2,,Arpmode,,118,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ARP Rhythm,,119,,0,127,,,,,0-based,,
Novation,Bass Station 2,,ARP Swing,,116,,0,127,,,,,0-based,,
Novation,Bass Station 2,,OSC1 Wave,,,,,,0,72,0,16383,0-based,,
Novation,Bass Station 2,,OSC2 Wave,,,,,,0,82,0,16383,0-based,,
Novation,Bass Station 2,,OSC3 Wave,,,,,,0,85,0,16383,0-based,,
Novation,Bass Station 2,,Mode Unknown,,,,,,0,79,0,16383,0-based,,
Novation,Bass Station 2,,O3 Coarse,,,,,,0,84,0,16383,0-based,,
Novation,Bass Station 2,,O3 Fine,,,,,,0,77,0,16383,0-based,,
Novation,Bass Station 2,,LFO1 O3 Pitch,,,,,,0,95,0,16383,0-based,,
Novation,Bass Station 2,,ENV2 O3 Pitch,,,,,,0,103,0,16383,0-based,,
Novation,Bass Station 2,,O3 Pulsewidth,,,,,,0,83,0,16383,0-based,,
Novation,Bass Station 2,,LFO2 O3 PW,,,,,,0,102,0,16383,0-based,,
Novation,Bass Station 2,,ENV2 O3 PW,,,,,,0,104,0,16383,0-based,,
Novation,Bass Station 2,,ENV1 SUS Time,,,,,,0,114,0,16383,0-based,,
Novation,Bass Station 2,,ENV2 SUS Time,,,,,,0,115,0,16383,0-based,,
Novation,Bass Station 2,,ENV1 Trig,,,,,,0,73,0,16383,0-based,,
Novation,Bass Station 2,,ENV2 Trig,,,,,,0,105,0,16383,0-based,,
Novation,Bass Station 2,,ENV1 Loop,,,,,,0,109,0,16383,0-based,,
Novation,Bass Station 2,,ENV2 Loop,,,,,,0,110,0,16383,0-based,,
Novation,Bass Station 2,,ENV1 Loop Count,,,,,,0,117,0,16383,0-based,,
Novation,Bass Station 2,,ENV2 Loop Count,,,,,,0,118,0,16383,0-based,,
Novation,Bass Station 2,,LFO1 Slew,,,,,,0,86,0,16383,0-based,,
Novation,Bass Station 2,,LFO1 Sync Rate,,,,,,0,87,0,16383,0-based,,
Novation,Bass Station 2,,LFO1 SPD Sync,,,,,,0,88,0,16383,0-based,,
Novation,Bass Station 2,,LFO1 Keysync,,,,,,0,89,0,16383,0-based,,
Novation,Bass Station 2,,LFO2 Slew,,,,,,0,90,0,16383,0-based,,
Novation,Bass Station 2,,LFO2 Sync Rate,,,,,,0,91,0,16383,0-based,,
Novation,Bass Station 2,,LFO2 SPD Sync,,,,,,0,92,0,16383,0-based,,
Novation,Bass Station 2,,LFO2 KEY Sync,,,,,,0,93,0,16383,0-based,,
Novation,Bass Station 2,,SEQ RE Trig,,,,,,0,106,0,16383,0-based,,
Novation,Bass Station 2,,MOD WH Filt,,,,,,0,94,0,16383,0-based,,
Novation,Bass Station 2,,Modwh LFO1 Pitch,,,,,,0,70,0,16383,0-based,,
Novation,Bass Station 2,,MOD WH LFO2 Filt,,,,,,0,71,0,16383,0-based,,
Novation,Bass Station 2,,Modwh OSC2,,,,,,0,78,0,16383,0-based,,
Novation,Bass Station 2,,AT Filt,,,,,,0,74,0,16383,0-based,,
Novation,Bass Station 2,,AT LFO1 Pitch,,,,,,0,75,0,16383,0-based,,
Novation,Bass Station 2,,AT LFO2 Filt,,,,,,0,76,0,16383,0-based,,
Novation,Bass Station 2,,Paraphonic,,,,,,0,107,0,16383,0-based,,
Novation,Bass Station 2,,Filt Track,,,,,,0,108,0,16383,0-based,,
Novation,Bass Station 2,,Tuning Error,,,,,,0,111,0,16383,0-based,,
Novation,Bass Station 2,,Glide Diverge,,,,,,0,113,0,16383,0-based,,
Novation,Bass Station 2,,Overlays ON,,,,,,0,112,0,16383,0-based,,
Novation,Bass Station 2,,Overlay Readonly,,,,,,0,116,0,16383,0-based,,
