manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Novation,DrumStation,808 Drum sounds,TR909 Bass drum,,basic,24,24,24,,
Novation,DrumStation,808 Drum sounds,TR909 Rim shot,,basic,25,25,25,,
Novation,DrumStation,808 Drum sounds,TR909 Snare drum,,basic,26,26,26,,
Novation,DrumStation,808 Drum sounds,TR909 Hand clap,,basic,27,27,27,,
Novation,DrumStation,808 Drum sounds,TR909 Low tom,,basic,28,28,28,,
Novation,DrumStation,808 Drum sounds,TR909 Mid tom,,basic,29,29,29,,
Novation,DrumStation,808 Drum sounds,TR909 Closed hihat,,basic,30,30,30,,
Novation,DrumStation,808 Drum sounds,TR909 High tom,,basic,31,31,31,,
Novation,DrumStation,808 Drum sounds,TR909 Crash cymbal,,basic,32,32,32,,
Novation,DrumStation,808 Drum sounds,TR909 Ride cymbal,,basic,33,33,33,,
Novation,DrumStation,808 Drum sounds,TR909 Open hihat,,basic,34,34,34,,
Novation,DrumStation,808 Drum sounds,TR808 Bass drum,,basic,36,36,36,,
Novation,DrumStation,808 Drum sounds,TR808 Rim shot,,basic,37,37,37,,
Novation,DrumStation,808 Drum sounds,TR808 Snare drum,,basic,38,38,38,,
Novation,DrumStation,808 Drum sounds,TR808 Hand clap,,basic,39,39,39,,
Novation,DrumStation,808 Drum sounds,TR808 Snare drum,,basic,40,40,40,,
Novation,DrumStation,808 Drum sounds,TR808 Low tom,,basic,41,41,41,,
Novation,DrumStation,808 Drum sounds,TR808 Closed hihat,,basic,42,42,42,,
Novation,DrumStation,808 Drum sounds,TR808 Low tom,,basic,43,43,43,,
Novation,DrumStation,808 Drum sounds,TR808 Closed hihat,,basic,44,44,44,,
Novation,DrumStation,808 Drum sounds,TR808 Mid tom,,basic,45,45,45,,
Novation,DrumStation,808 Drum sounds,TR808 Open hihat,,basic,46,46,46,,
Novation,DrumStation,808 Drum sounds,TR808 Mid tom,,basic,47,47,47,,
Novation,DrumStation,808 Drum sounds,TR808 High tom,,basic,48,48,48,,
Novation,DrumStation,808 Drum sounds,TR808 Crash cymbal,,basic,49,49,49,,
Novation,DrumStation,808 Drum sounds,TR808 High tom,,basic,50,50,50,,
Novation,DrumStation,808 Drum sounds,TR909 Ride cymbal,,basic,51,51,51,,
Novation,DrumStation,808 Drum sounds,TR808 Cowbell,,basic,56,56,56,,
Novation,DrumStation,808 Drum sounds,TR808 High conga,,basic,62,62,62,,
Novation,DrumStation,808 Drum sounds,TR808 Mid conga,,basic,63,63,63,,
Novation,DrumStation,808 Drum sounds,TR808 Low conga,,basic,64,64,64,,
Novation,DrumStation,808 Drum sounds,TR808 Maracas,,basic,70,70,70,,
Novation,DrumStation,808 Drum sounds,TR808 Claves,,basic,76,65,65,,
Novation,DrumStation,909 Drum sounds,TR808 Bass drum,,basic,24,24,24,,
Novation,DrumStation,909 Drum sounds,TR808 Rim shot,,basic,25,25,25,,
Novation,DrumStation,909 Drum sounds,TR808 Snare drum,,basic,26,26,26,,
Novation,DrumStation,909 Drum sounds,TR808 Hand clap,,basic,27,27,27,,
Novation,DrumStation,909 Drum sounds,TR808 Low tom,,basic,28,28,28,,
Novation,DrumStation,909 Drum sounds,TR808 Mid tom,,basic,29,29,29,,
Novation,DrumStation,909 Drum sounds,TR808 Closed hihat,,basic,30,30,30,,
Novation,DrumStation,909 Drum sounds,TR808 High tom,,basic,31,31,31,,
Novation,DrumStation,909 Drum sounds,TR808 Crash cymbal,,basic,32,32,32,,
Novation,DrumStation,909 Drum sounds,TR909 Ride cymbal,,basic,33,33,33,,
Novation,DrumStation,909 Drum sounds,TR909 Open hihat,,basic,34,34,34,,
Novation,DrumStation,909 Drum sounds,TR909 Bass drum,,basic,36,36,36,,
Novation,DrumStation,909 Drum sounds,TR909 Rim shot,,basic,37,37,37,,
Novation,DrumStation,909 Drum sounds,TR909 Snare drum,,basic,38,38,38,,
Novation,DrumStation,909 Drum sounds,TR909 Hand clap,,basic,39,39,39,,
Novation,DrumStation,909 Drum sounds,TR909 Snare drum,,basic,40,40,40,,
Novation,DrumStation,909 Drum sounds,TR909 Low tom,,basic,41,41,41,,
Novation,DrumStation,909 Drum sounds,TR909 Closed hihat,,basic,42,42,42,,
Novation,DrumStation,909 Drum sounds,TR808 Low tom,,basic,43,43,43,,
Novation,DrumStation,909 Drum sounds,TR909 Closed hihat,,basic,44,44,44,,
Novation,DrumStation,909 Drum sounds,TR909 Mid tom,,basic,45,45,45,,
Novation,DrumStation,909 Drum sounds,TR909 Open hihat,,basic,46,46,46,,
Novation,DrumStation,909 Drum sounds,TR909 Mid tom,,basic,47,47,47,,
Novation,DrumStation,909 Drum sounds,TR909 High tom,,basic,48,48,48,,
Novation,DrumStation,909 Drum sounds,TR909 Crash cymbal,,basic,49,49,49,,
Novation,DrumStation,909 Drum sounds,TR909 High tom,,basic,50,50,50,,
Novation,DrumStation,909 Drum sounds,TR909 Ride cymbal,,basic,51,51,51,,
Novation,DrumStation,909 Drum sounds,TR808 Cowbell,,basic,56,56,56,,
Novation,DrumStation,909 Drum sounds,TR808 High conga,,basic,62,62,62,,
Novation,DrumStation,909 Drum sounds,TR808 Mid conga,,basic,63,63,63,,
Novation,DrumStation,909 Drum sounds,TR808 Low conga,,basic,64,64,64,,
Novation,DrumStation,909 Drum sounds,TR808 Maracas,,basic,70,70,70,,
Novation,DrumStation,909 Drum sounds,TR808 Claves,,basic,76,65,65,,
