manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Novation,K Station,Controllers,Modwheel,modwheel msb,1,,0,127,,,,,,,0-based,receive only,
Novation,K Station,Controllers,Breath control,breath msb,2,,0,127,,,,,,,0-based,receive only,
Novation,K Station,Arpeggiator,ARP pattern,,3,,0,127,,,,,,,0-based,"0..5 = up, down, ud1, ud2, order, random",
Novation,K Station,Pitch,Portamento time,portamento time msb,5,,0,127,,,,,,,0-based,,
Novation,K Station,Mixer,Volume,volume msb,7,,0,127,,,,,,,0-based,,
Novation,K Station,Pitch,Preglide semitones,balance msb,8,,0,127,,,,,,,centered,0=preglide disabled,0~127: -12..+12
Novation,K Station,Arpeggiator,ARP rate,,9,,0,127,,,,,,,0-based,64..191 bpm,
Novation,K Station,Effects,Pan position,pan msb,10,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,General,Non-sync pan rate,effect control 1 msb,12,,0,127,,,,,,,0-based,,
Novation,K Station,General,Sync pan rate,effect control 2 msb,13,,0,127,,,,,,,0-based,"non-sync, 32Triplet..12bars",0~127: 0..34
Novation,K Station,General,Vocoder stereo width,,14,,0,127,,,,,,,0-based,,
Novation,K Station,Mixer,Vocoder sibilance level,,15,,0,127,,,,,,,0-based,,
Novation,K Station,Controllers,Modwheel distortion,gen. controller 1 msb,16,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Effects,Distortion compensation,gen. controller 2 msb,17,,0,127,,,,,,,0-based,,
Novation,K Station,Controllers,Modwheel delay send,gen. controller 3 msb,18,,0,127,,,,,,,0-based,,
Novation,K Station,General,Non-sync delay time,gen. controller 4 msb,19,,0,127,,,,,,,0-based,,
Novation,K Station,General,Sync delay time,,20,,0,127,,,,,,,0-based,"non-sync, 32Triplet..2bars",0~127: 0..19
Novation,K Station,Effects,Delay feedback,,21,,0,127,,,,,,,0-based,,
Novation,K Station,Effects,Delay stereo width,,22,,0,127,,,,,,,0-based,,
Novation,K Station,Effects,Delay ratio,,23,,0,127,,,,,,,0-based,,
Novation,K Station,Controllers,Modwheel reverb send,,24,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Envelope,Reverb decay,,25,,0,127,,,,,,,0-based,,
Novation,K Station,Controllers,Modwheel chorus send,,26,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,General,Non-sync chorus rate,,27,,0,127,,,,,,,0-based,,
Novation,K Station,General,Sync chorus rate,,28,,0,127,,,,,,,0-based,"non-sync, 32Triplet..12bars",0~127: 0..34
Novation,K Station,Effects,Chorus feedback,,29,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Effects,Chorus mod depth,,30,,0,127,,,,,,,0-based,,
Novation,K Station,Effects,Chorus mod centre point,,31,,0,127,,,,,,,0-based,,
Novation,K Station,Program Select,Bank select,bank lsb,32,,0,127,,,,,,,0-based,,0~127: 1..4
Novation,K Station,Effects,EQ level,modwheel lsb,33,,0,127,,,,,,,centered,"0, 1..63, 64, 65..126, 127 = LP, LPshelf, flat, HPshelf, HP",0~127: -64..0..+63 (64 = zero)
Novation,K Station,Effects,EQ frequency,breath lsb,34,,0,127,,,,,,,0-based,,
Novation,K Station,General,Non-sync EQ mod rate,,35,,0,127,,,,,,,0-based,,
Novation,K Station,General,Sync EQ mod rate,foot controller lsb,36,,0,127,,,,,,,0-based,"non-sync, 32Triplet..12bars",0~127: 0..34
Novation,K Station,Effects,EQ mod depth,portamento time lsb,37,,0,127,,,,,,,0-based,,
Novation,K Station,Oscillator,OSC1 semitone,balance lsb,40,,0,127,,,,,,,centered,,0~127: -12..+12
Novation,K Station,Oscillator,OSC1 cent,,41,,0,127,,,,,,,centered,,0~127: -50..+50
Novation,K Station,Oscillator,OSC1 bendwheel pitch amount,pan lsb,42,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC1 LFO1 pitch amount,expression lsb,43,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC1 mod.env pitch amount,effect control 1 lsb,44,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC1 pulse width position,effect control 2 lsb,45,,0,127,,,,,,,centered,0=50% or in-phase double wave,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC1 LFO2 pulse width mod,,46,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC1 mod.env pulse width mod,,47,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC2 semitone,gen. controller 1 lsb,48,,0,127,,,,,,,centered,,0~127: -12..+12
Novation,K Station,Oscillator,OSC2 cent,gen. controller 2 lsb,49,,0,127,,,,,,,centered,,0~127: -50..+50
Novation,K Station,Oscillator,OSC2 bendwheel pitch amount,gen. controller 3 lsb,50,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC2 LFO1 pitch amount,gen. controller 4 lsb,51,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC2 mod.env pitch amount,,52,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC2 pulse width position,,53,,0,127,,,,,,,centered,0=50% or in-phase double wave,0~127: -64..0..+63 (64 = zero)
Novation,K Station,Oscillator,OSC2 LFO2 pulse width mod,,54,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
