manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Novation,KS 4 (KS 5),Controllers,Modwheel,modwheel msb,1,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Controllers,Breath control,breath msb,2,,0,127,,,,,,,0-based,receive only,
Novation,KS 4 (KS 5),Arpeggiator,ARP pattern,,3,,0,127,,,,,,,0-based,"0..7 = up, down, ud1, ud2, order, random, chord, drum",
Novation,KS 4 (KS 5),Mixer,Part volume,volume msb,7,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Pitch,Preglide semitones,balance msb,8,,0,127,,,,,,,centered,0=preglide disabled,0~127: -12..+12
Novation,KS 4 (KS 5),Arpeggiator,Arp/general sync rate (,,9,,0,127,,,,,,,0-based,common,0~127: 64..191 bpm)
Novation,KS 4 (KS 5),Effects,Pan position,pan msb,10,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Controllers,Expression pedal,expression msb,11,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Non-sync pan rate,effect control 1 msb,12,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Sync pan rate,effect control 2 msb,13,,0,127,,,,,,,0-based,"non-sync, 32Triplet..12bars",0~127: 0..34
Novation,KS 4 (KS 5),General,Vocoder stereo width,,14,,0,127,,,,,,,0-based,common,
Novation,KS 4 (KS 5),Mixer,Vocoder sibilance level,,15,,0,127,,,,,,,0-based,common,
Novation,KS 4 (KS 5),Controllers,Modwheel distortion,gen. controller 1 msb,16,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Effects,Distortion compensation,gen. controller 2 msb,17,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Controllers,Modwheel delay send,gen. controller 3 msb,18,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Non-sync delay time,gen. controller 4 msb,19,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Sync delay time,,20,,0,127,,,,,,,0-based,"non-sync, 32Triplet..2bars",0~127: 0..19
Novation,KS 4 (KS 5),Effects,Delay feedback,,21,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Effects,Delay stereo width,,22,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Effects,Delay ratio,,23,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Controllers,Modwheel reverb send,,24,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Envelope,Reverb decay,,25,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Controllers,Modwheel chorus send,,26,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),General,Non-sync chorus rate,,27,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Sync chorus rate,,28,,0,127,,,,,,,0-based,"non-sync, 32Triplet..12bars",0~127: 0..34
Novation,KS 4 (KS 5),Effects,Chorus feedback,,29,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Effects,Chorus mod depth,,30,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Effects,Chorus mod centre point,,31,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Program Select,Bank select,bank lsb,32,,0,127,,,,,,,0-based,"bit 6 set forces perf mode, bit 5 set forces program mode",0~127: 1..8
Novation,KS 4 (KS 5),Effects,EQ level,modwheel lsb,33,,0,127,,,,,,,centered,"0, 1..63, 64, 65..126, 127 = LP, LPshelf, flat, HPshelf, HP",0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Effects,EQ frequency,breath lsb,34,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Non-sync EQ mod rate,,35,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),General,Sync EQ mod rate,foot controller lsb,36,,0,127,,,,,,,0-based,"non-sync, 32Triplet..12bars",0~127: 0..34
Novation,KS 4 (KS 5),Effects,EQ mod depth,portamento time lsb,37,,0,127,,,,,,,0-based,,
Novation,KS 4 (KS 5),Oscillator,OSC1 semitone,balance lsb,40,,0,127,,,,,,,centered,,0~127: -12..+12
Novation,KS 4 (KS 5),Oscillator,OSC1 cent,,41,,0,127,,,,,,,centered,,0~127: -50..+50
Novation,KS 4 (KS 5),Oscillator,OSC1 bendwheel pitch amount,pan lsb,42,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC1 LFO1 pitch amount,expression lsb,43,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC1 mod.env pitch amount,effect control 1 lsb,44,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC1 pulse width position,effect control 2 lsb,45,,0,127,,,,,,,centered,0=50% or in-phase double wave,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC1 LFO2 pulse width mod,,46,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC1 mod.env pulse width mod,,47,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC2 semitone,gen. controller 1 lsb,48,,0,127,,,,,,,centered,,0~127: -12..+12
Novation,KS 4 (KS 5),Oscillator,OSC2 cent,gen. controller 2 lsb,49,,0,127,,,,,,,centered,,0~127: -50..+50
Novation,KS 4 (KS 5),Oscillator,OSC2 bendwheel pitch amount,gen. controller 3 lsb,50,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC2 LFO1 pitch amount,gen. controller 4 lsb,51,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
Novation,KS 4 (KS 5),Oscillator,OSC2 mod.env pitch amount,,52,,0,127,,,,,,,centered,,0~127: -64..0..+63 (64 = zero)
