manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Novation,Peak,General,Patch category,,,,,,0,0,0,14,0-based,,
,,General,Patch genre,,,,,,0,1,0,9,0-based,,
,,General,Voice mode,,,,,,0,2,0,4,0-based,,
,,General,Voice unison,,,,,,0,3,0,4,0-based,,
,,General,Voice unison detune,,,,,,0,4,0,127,0-based,,
,,General,Voice unison spread,,,,,,0,5,0,127,0-based,,
,,General,Voice keyboard octave,,,,,,0,6,61,67,centered,,"61: -3, 62: -2, 63: -1, 64: 0; 65: +1; 66: +2; 67: +3"
,,General,Glide time,,5,,0,127,,,,,0-based,,
,,General,Voice pre-glide,,,,,,0,7,52,76,centered,,52~63: -12 to -1; 64: off; 65~76: +1 to +12
,,General,Glide on,,35,,0,1,,,,,0-based,,0: off; 1: on
,,"Oscillators, common",Oscillator common divergence,,,,,,0,9,0,127,0-based,,
,,"Oscillators, common",Oscillator common drift,,,,,,0,10,0,127,0-based,,
,,"Oscillators, common",Oscillator common noise LPF,,,,,,0,11,0,127,0-based,,
,,"Oscillators, common",Oscillator common noise HPF,,,,,,0,12,0,0,0-based,Range is documented as 0 to 0 in manual; likely a typo,
,,Oscillator 1,Oscillator 1 range,,3,,63,66,,,,,centered,,63: -1; 64: 0; 65: +1; 66: +2
,,Oscillator 1,Oscillator 1 coarse,,14,16,0,255,,,,,centered,,
,,Oscillator 1,Oscillator 1 fine,,15,47,28,228,,,,,centered,,
,,Oscillator 1,Oscillator 1 mod env 2 > pitch,,9,,1,127,,,,,centered,,
,,Oscillator 1,Oscillator 1 LFO2 > pitch,,16,48,1,255,,,,,centered,,
,,Oscillator 1,Oscillator 1 wave,,,,,,0,14,0,4,0-based,,
,,Oscillator 1,Oscillator 1 wave more,,,,,,0,15,4,63,0-based,,
,,Oscillator 1,Oscillator 1 shape source,,,,,,0,16,0,2,0-based,,
,,Oscillator 1,Oscillator 1 manual shape,,12,,0,127,,,,,centered,,
,,Oscillator 1,Oscillator 1 mod env 1 > shape,,119,,0,127,,,,,centered,,
,,Oscillator 1,Oscillater 1 LFO > shape,,33,,0,127,,,,,centered,,
,,Oscillator 1,Oscillator 1 vsync,,34,,0,127,,,,,0-based,,
,,Oscillator 1,Oscilator 1 saw density,,,,,,0,17,0,127,0-based,,
,,Oscillator 1,Oscillator 1 saw density detune,,,,,,0,18,0,127,0-based,,
,,Oscillator 1,Oscillator 1 fixed note,,,,,,0,19,0,88,0-based,,
,,Oscillator 1,Oscillator 1 bend range,,,,,,0,20,40,88,centered,,
,,Oscillator 2,Oscillator 2 range,,37,,63,66,,,,,centered,,63: -1; 64: 0; 65: +1; 66: +2
,,Oscillator 2,Oscillator 2 coarse,,17,49,0,255,,,,,centered,,
,,Oscillator 2,Oscillator 2 fine,,18,50,28,228,,,,,centered,,
,,Oscillator 2,Oscillator 2 mod env 2 > pitch,,38,,1,127,,,,,centered,,
