manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Novation,Summit and Peak,Amp,Amp filter,,77,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Amp,Amp attack,,86,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Amp,Amp decay,,87,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Amp,Amp sustain,,88,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Amp,Amp release,,89,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Amp,Amp velocity,,,,,,,0,55,0,16383,,0-based,,
Novation,Summit and Peak,Amp,Amp trigger,,,,,,,0,56,0,16383,,0-based,,
Novation,Summit and Peak,Animate,Animate 1 hold,,114,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Animate,Animate 2 hold,,115,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Animate,Animate 1 attack,,,,,,,25,34,0,16383,,0-based,,
Novation,Summit and Peak,Animate,Animate 1 release,,,,,,,25,35,0,16383,,0-based,,
Novation,Summit and Peak,Animate,Animate 2 attack,,,,,,,25,36,0,16383,,0-based,,
Novation,Summit and Peak,Animate,Animate 2 release,,,,,,,25,37,0,16383,,0-based,,
Novation,Summit and Peak,Arp,Arp clock gate,,116,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Arp,Arp chance,,,,,,,25,33,0,16383,,0-based,,
Novation,Summit and Peak,Chorus,Chorus level,,105,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Chorus,Chorus rate,,118,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Chorus,Chorus feedback,,107,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Chorus,Chorus type,,,,,,,0,111,0,16383,,0-based,,
Novation,Summit and Peak,Chorus,Chorus mod depth,,,,,,,0,112,0,16383,,0-based,,
Novation,Summit and Peak,Chorus,Chorus LPF,,,,,,,0,113,0,16383,,0-based,,
Novation,Summit and Peak,Chorus,Chorus HPF,,,,,,,0,114,0,16383,,0-based,,
Novation,Summit and Peak,Chorus,Chorus FL PH,,,,,,,0,115,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay level,,108,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Delay,Delay time,,109,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Delay,Delay feedback,,110,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Delay,Delay ratio,,,,,,,0,91,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay width,,,,,,,0,92,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay sync,,,,,,,0,93,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay sync time,,,,,,,0,94,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay LP damp,,,,,,,0,95,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay HP damp,,,,,,,0,96,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay slew,,,,,,,0,97,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay type,,,,,,,25,44,0,16383,,0-based,,
Novation,Summit and Peak,Delay,Delay output,,,,,,,25,45,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 1,Envelope 1 Loop,,,,,,,25,27,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 1,Envelope 1 Reps,,,,,,,0,58,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 1,Envelope 1 delay,,,,,,,25,30,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 2,Envelope 2 Loop,,,,,,,25,28,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 2,Envelope 2 Reps,,,,,,,0,63,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 2,Envelope 2 delay,,,,,,,25,31,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 3,Envelope 3 Loop,,,,,,,25,29,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 3,Envelope 2 Reps,,,,,,,0,67,0,16383,,0-based,,
Novation,Summit and Peak,Envelope 3,Envelope 3 delay,,,,,,,25,32,0,16383,,0-based,,
Novation,Summit and Peak,Filter,Filter overdrive,,80,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Filter,Filter post drive,,36,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Filter,Filter track,,75,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Filter,Resonance,,79,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Filter,Cutoff,,29,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,Filter,Filter slope,,,,,,,0,45,0,16383,,0-based,,
Novation,Summit and Peak,Filter,Filter type,,,,,,,0,46,0,16383,,0-based,,
Novation,Summit and Peak,Filter,Filter envelope select,,,,,,,0,47,0,16383,,0-based,,
Novation,Summit and Peak,Filter,Filter diverge,,,,,,,0,48,0,16383,,0-based,,
Novation,Summit and Peak,FX,Distortion level,,104,,0,127,,,,,,,0-based,,
Novation,Summit and Peak,FX,FX bypass,,,,,,,0,88,0,16383,,0-based,,
Novation,Summit and Peak,FX,FX routing,,,,,,,0,89,0,16383,,0-based,,
Novation,Summit and Peak,FX matrix,FX MX1 depth,,,,,,,17,2,0,16383,,0-based,,
Novation,Summit and Peak,FX matrix,FX MX2 depth,,,,,,,18,2,0,16383,,0-based,,
Novation,Summit and Peak,FX matrix,FX MX3 depth,,,,,,,19,2,0,16383,,0-based,,
Novation,Summit and Peak,FX matrix,FX MX4 depth,,,,,,,20,2,0,16383,,0-based,,
Novation,Summit and Peak,FX matrix,FX MX5 depth,,,,,,,21,2,0,16383,,0-based,,
