manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Oberheim,OB-6,,MSB,,,,0,127,,,,,0-based,,
Oberheim,OB-6,,MOD Wheel,,1,,0,127,,,,,0-based,,
Oberheim,OB-6,,BPM,,3,,0,127,,,,,0-based,,
Oberheim,OB-6,,Foot Controller,,4,,0,127,,,,,0-based,,
Oberheim,OB-6,,Glide Mode,,5,,0,127,,,,,0-based,,
Oberheim,OB-6,,Data Entry MSB,,6,,0,127,,,,,0-based,,
Oberheim,OB-6,,Midi Volume,,7,,0,127,,,,,0-based,,
Oberheim,OB-6,,SUB OSC Level,,8,,0,127,,,,,0-based,,
Oberheim,OB-6,,Distortion Amount,,9,,0,127,,,,,0-based,,
Oberheim,OB-6,,Data Entry LSB,,38,,0,127,,,,,0-based,,
Oberheim,OB-6,,Volume LSB,,39,,0,127,,,,,0-based,,
Oberheim,OB-6,,VCA ENV AMT,,40,,0,127,,,,,0-based,,
Oberheim,OB-6,,VCA ENV VEL AMT,,41,,0,127,,,,,0-based,,
Oberheim,OB-6,,VCA ENV Attack,,43,,0,127,,,,,0-based,,
Oberheim,OB-6,,VCA ENV Decay,,44,,0,127,,,,,0-based,,
Oberheim,OB-6,,VCA ENV Sustain,,45,,0,127,,,,,0-based,,
Oberheim,OB-6,,VCA ENV Release,,46,,0,127,,,,,0-based,,
Oberheim,OB-6,,Filter ENV AMT,,47,,0,127,,,,,0-based,,
Oberheim,OB-6,,Filter ENV Attack,,50,,0,127,,,,,0-based,,
Oberheim,OB-6,,Filter ENV Decay,,51,,0,127,,,,,0-based,,
Oberheim,OB-6,,Filter ENV Sustain,,52,,0,127,,,,,0-based,,
Oberheim,OB-6,,Filter ENV Release,,53,,0,127,,,,,0-based,,
Oberheim,OB-6,,ARP ON OFF,,58,,0,127,,,,,0-based,,
Oberheim,OB-6,,ARP Mode,,59,,0,127,,,,,0-based,,
Oberheim,OB-6,,ARP Octave,,60,,0,127,,,,,0-based,,
Oberheim,OB-6,,ARP Clock Division,,62,,0,127,,,,,0-based,,
Oberheim,OB-6,,Damper Pedal,,64,,0,127,,,,,0-based,,
Oberheim,OB-6,,Glide ON OFF,,65,,0,127,,,,,0-based,,
