manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Positive Grid,Spark EDGE,Channel 1,Toggle Effect Slot 1,,0,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Effect Slot 2,,1,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Effect Slot 3,,2,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Amp Slot,,3,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Effect Slot 4,,4,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Effect Slot 5,,5,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Effect Slot 6,,6,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Toggle Tuner,,7,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 1,Channel Volume,,21,,0,127,,,,,,,0-based,,0~127: Channel 1 volume
Positive Grid,Spark EDGE,Channel 2,Toggle Effect Slot 1,,30,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 2,Toggle Amp Slot,,31,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 2,Toggle Effect Slot 2,,32,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 2,Toggle Effect Slot 3,,33,,0,127,,,,,,,0-based,,
Positive Grid,Spark EDGE,Channel 2,Channel Volume,,22,,0,127,,,,,,,0-based,,0~127: Channel 2 volume
Positive Grid,Spark EDGE,Channels 3 and 4,Channel Volume,Shared volume control for Channels 3 and 4,23,,0,127,,,,,,,0-based,,0~127: Channels 3/4 volume
Positive Grid,Spark EDGE,Global controls,Master Volume,,20,,0,127,,,,,,,0-based,,0~127: Master volume
Positive Grid,Spark EDGE,Global controls,Tap Tempo,,8,,0,127,,,,,,,0-based,,
