manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Red Panda,Raster,,Expression Pedal,,4,,0,127,,,,,0-based,,
Red Panda,Raster,,Blend,,14,,0,127,,,,,0-based,,
Red Panda,Raster,,Blend L R Tilt,,13,,0,127,,,,,0-based,,
Red Panda,Raster,,Shift,,16,,0,127,,,,,0-based,,
Red Panda,Raster,,Shift L R Tilt,,17,,0,127,,,,,0-based,,
Red Panda,Raster,,Delay Time,,18,,0,127,,,,,0-based,,
Red Panda,Raster,,Delay Time L R Tilt,,19,,0,127,,,,,0-based,,
Red Panda,Raster,,Feedback,,20,,0,127,,,,,0-based,,
Red Panda,Raster,,Feedback L R Tilt,,21,,0,127,,,,,0-based,,
Red Panda,Raster,,Modulation Rate,,22,,0,127,,,,,0-based,,
Red Panda,Raster,,Modulation Rate L R Tilt,,23,,0,127,,,,,0-based,,
Red Panda,Raster,,Modulation Depth,,24,,0,127,,,,,0-based,,
Red Panda,Raster,,Modulation Depth L R Tilt,,25,,0,127,,,,,0-based,,
Red Panda,Raster,,Tone,,26,,0,127,,,,,0-based,,
Red Panda,Raster,,Shift TAP Footswitch,,80,,0,127,,,,,0-based,,
Red Panda,Raster,,ON Footswittch,,81,,0,127,,,,,0-based,,
Red Panda,Raster,,Bypass,,88,,0,127,,,,,0-based,,
