manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Reliq Instruments,Reliq,Matrix,Page routing index,Send channel: 2,50,,0,15,,,,,,,,,
Reliq Instruments,Reliq,Matrix,Page routing view,Send channel: 2,14,,0,3,,,,,,,,,
Reliq Instruments,Reliq,Mixer,Input fader level,Send channel: Fader index,15,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Mixer,Output fader level,Send channel: Fader index,16,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Step count,Send channel: Track index,17,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Direction,Send channel: Track index,18,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Speed,Send channel: Track index,19,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Pitch offset,Send channel: Track index,20,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Velocity offset,Send channel: Track index,21,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Duration offset,Send channel: Track index,22,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Probability offset,Send channel: Track index,23,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Swing amount,Send channel: Track index,24,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Rotate,Send channel: Track index,25,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Events,Send channel: Track index,26,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Sequencer,Mute,Send channel: Track index,52,,0,127,,,,,,,,,0-63: Off; 64-127: On
Reliq Instruments,Reliq,Sequencer,Solo,Send channel: Track index,53,,0,127,,,,,,,,,0-63: Off; 64-127: On
Reliq Instruments,Reliq,Sequencer,Arm,Send channel: Track index,54,,0,127,,,,,,,,,0-63: Off; 64-127: On
Reliq Instruments,Reliq,Matrix sequencer,Step count,Send channel: 2,45,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Matrix sequencer,Direction,Send channel: 2,46,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Matrix sequencer,Speed,Send channel: 2,47,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Matrix sequencer,Probability offset,Send channel: 2,48,,0,127,,,,,,,,,
Reliq Instruments,Reliq,Matrix sequencer,Mute,Send channel: 2,55,,0,127,,,,,,,,,0-63: Off; 64-127: On
Reliq Instruments,Reliq,Matrix sequencer,Solo,Send channel: 2,56,,0,127,,,,,,,,,0-63: Off; 64-127: On
Reliq Instruments,Reliq,Matrix sequencer,Trigger clip on current page,Send channel: 2,49,,0,15,,,,,,,,,
Reliq Instruments,Reliq,Clip,Trigger clip on current page,Send channel: Track index,27,,0,15,,,,,,,,,
Reliq Instruments,Reliq,Clip,Change page view,Send channel: 1,28,,0,15,,,,,,,,,
Reliq Instruments,Reliq,Keys,Overdub,Send channel: 1,29,,0,127,,,,,,,,,0-63: Off; 64-127: On
Reliq Instruments,Reliq,Keys,Quantize,Send channel: 1,30,,0,127,,,,,,,,,
Reliq Instruments,Reliq,LFO,Wave,Send channel: Track index,31,,0,127,,,,,,,,,
Reliq Instruments,Reliq,LFO,Rate / Frequency,Send channel: Track index,32,,0,127,,,,,,,,,
Reliq Instruments,Reliq,LFO,Depth / Amplitude,Send channel: Track index,33,,0,127,,,,,,,,,
Reliq Instruments,Reliq,LFO,Mode,Send channel: Track index,34,,0,127,,,,,,,,,0-63: Sync; 64-127: Free mode
Reliq Instruments,Reliq,LFO,Offset,Send channel: Track index,57,,0,127,,,,,,,,,
