manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Roland,GAIA 2,Program Select,Bank Select,,0,32,0,127,,,,,,,0-based,,
Roland,GAIA 2,Controllers,Modulation,,1,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Pedals & Switches,Portamento Time,,5,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mixer,Volume,,7,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mixer,Panpot,,10,,0,127,,,,,,,centered,,
Roland,GAIA 2,Controllers,Expression,,11,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Pedals & Switches,Hold 1,,64,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,GAIA 2,Pedals & Switches,Portamento control,,84,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mode Messages,Reset All Controllers,,91,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Program Select,Program Change,,123,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mode Messages,OMNI OFF,,124,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mode Messages,OMNI ON,,125,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mode Messages,MONO,,126,,0,127,,,,,,,0-based,,
Roland,GAIA 2,Mode Messages,POLY,,127,,0,127,,,,,,,0-based,,
