manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,JP-08,General,Modulation,,1,,0,127,,,,,0-based,,
Roland,JP-08,General,Portamento time,,5,,0,127,,,,,0-based,,
Roland,JP-08,General,Expression pedal,,11,,0,127,,,,,0-based,,
Roland,JP-08,General,Hold,,64,,0,127,,,,,0-based,,
Roland,JP-08,General,Portamento time,,65,,0,127,,,,,0-based,,
Roland,JP-08,General,Source mix,,25,,0,127,,,,,0-based,,
Roland,JP-08,General,Dual switch,,80,,0,127,,,,,0-based,,
Roland,JP-08,General,Current part,,81,,0,127,,,,,0-based,,
Roland,JP-08,General,Assign mode,,86,,0,127,,,,,0-based,,
Roland,JP-08,General,Bend range,,87,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO modulation LFO modulation,,13,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO modulation envelope modulation,,14,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO modulation frequency modulation,,15,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO modulation PWM,,16,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO modulation PWM SEL,,17,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-1 cross modulation,,18,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-1 range,,19,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-1 wave,,20,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-2 sync,,21,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-2 range,,22,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-2 tune,,23,,0,127,,,,,0-based,,
Roland,JP-08,VCO,VCO-2 wave,,24,,0,127,,,,,0-based,,
Roland,JP-08,LFO,LFO rate,,3,,0,127,,,,,0-based,,
Roland,JP-08,LFO,LFO delay time,,9,,0,127,,,,,0-based,,
Roland,JP-08,LFO,LFO wave,,12,,0,127,,,,,0-based,,
Roland,JP-08,VCA,VCA level,,35,,0,127,,,,,0-based,,
Roland,JP-08,VCA,VCA LFO modulation,,46,,0,127,,,,,0-based,,
Roland,JP-08,VCF,HPF cutoff,,26,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCF slope,,27,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCF envelope modulation,,28,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCF envelope modulation SEL,,29,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCO LFO modulation,,30,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCF key follow,,31,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCF resonance,,71,,0,127,,,,,0-based,,
Roland,JP-08,VCF,VCF cutoff,,74,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-1 attack,,47,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-1 decay,,52,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-1 sustain,,53,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-1 release,,5,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-1 polarity,,55,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-2 attack,,73,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-2 decay,,75,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-2 sustain,,56,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-2 release,,72,,0,127,,,,,0-based,,
Roland,JP-08,Envelopes,ENV-2 key follow,,57,,0,127,,,,,0-based,,
Roland,JP-08,Delay,Delay time,,82,,0,127,,,,,0-based,,
Roland,JP-08,Delay,Delay feedback,,83,,0,127,,,,,0-based,,
Roland,JP-08,Delay,Delay level,,91,,0,127,,,,,0-based,,
