manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Roland,Jupiter-6 Tauntek Upgrade,Performance,Mod Wheel,Modulation wheel value. Destination is user-assignable via Tauntek settings.,1,,0,127,,,,,,,0-based,Destination set by Tauntek 'Mod CC Assign' bits (panel setting). Destinations listed on cheat sheet include VCO Mod - LFO1 Amt; VCF Cut - LFO1 Amt; VCA Mod - LFO1 Amt; LFO1 Rate; XMOD Amt; Pulse Width; VCF Cutoff; VCF Resonance.,0~127: Mod wheel value
Roland,Jupiter-6 Tauntek Upgrade,Performance,Hold,Holds notes (panel HOLD).,30,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,Jupiter-6 Tauntek Upgrade,Performance,Glissando,Enables glissando.,29,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,Jupiter-6 Tauntek Upgrade,Performance,Bender,Enables bender.,28,,0,127,,,,,,,0-based,Cheat sheet lists as on/off; exact behaviour (range/source) not specified.,0-63: Off; 64-127: On
Roland,Jupiter-6 Tauntek Upgrade,Performance,Portamento Switch,Enables portamento.,65,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,Jupiter-6 Tauntek Upgrade,Performance,Sustain Pedal,Sustain pedal (damper) on/off.,64,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,Jupiter-6 Tauntek Upgrade,Performance,Volume,Main output level.,7,,0,127,,,,,,,0-based,,0~127: Volume amount
Roland,Jupiter-6 Tauntek Upgrade,Performance,Split Balance (CC08),Upper/lower split balance (alternate CC mapping).,8,,0,127,,,,,,,0-based,Cheat sheet also lists Split Balance on CC80 with explicit 0/64/127 meaning; CC08 entry in cheat sheet does not specify mapping.,0~127: Split balance amount
Roland,Jupiter-6 Tauntek Upgrade,Performance,Split Balance (CC80),Upper/lower split balance.,80,,0,127,,,,,,,centered,"Cheat sheet: 0=Lower, 64=Equal, 127=Upper.",0~127: Split balance amount
Roland,Jupiter-6 Tauntek Upgrade,Performance,Master Tune,Master tuning (global).,79,,0,127,,,,,,,0-based,"Cheat sheet does not describe the value mapping (e.g., centre/offset).",0~127: Master tune amount
Roland,Jupiter-6 Tauntek Upgrade,Performance,Key Assign Mode,Key assign mode selection.,77,,0,127,,,,,,,0-based,,0-15: Poly 1; 16-31: Poly 2; 32-47: Unison; 48-63: Solo; 64-127: Solo Unison
Roland,Jupiter-6 Tauntek Upgrade,Performance,Unison Detune,Detune amount for unison.,63,,0,127,,,,,,,0-based,,0~127: Detune amount
Roland,Jupiter-6 Tauntek Upgrade,Performance,Glide Time (CC05),Portamento/glide time.,5,,0,127,,,,,,,0-based,Cheat sheet lists CC05 as Glide Time but provides no value mapping details.,0~127: Glide time amount
