manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,MC-101,,Bank SEL MSB,,0,,0,127,,,,,0-based,,
Roland,MC-101,,MOD Wheel,,1,,0,127,,,,,0-based,,
Roland,MC-101,,Port Time,,5,,0,127,,,,,0-based,,
Roland,MC-101,,Volume,,7,,0,127,,,,,0-based,,
Roland,MC-101,,PAN,,10,,0,127,,,,,0-based,,
Roland,MC-101,,Expression,,11,,0,127,,,,,0-based,,
Roland,MC-101,,Hold1,,64,,0,127,,,,,0-based,,
Roland,MC-101,,Glide Active,,65,,0,127,,,,,0-based,,
Roland,MC-101,,Sostenuto,,66,,0,127,,,,,0-based,,
Roland,MC-101,,Soft,,67,,0,127,,,,,0-based,,
Roland,MC-101,,Legato Foot Switch,,68,,0,127,,,,,0-based,,
Roland,MC-101,,Resonance,,71,,0,127,,,,,0-based,,
Roland,MC-101,,Release,,72,,0,127,,,,,0-based,,
Roland,MC-101,,Attack,,73,,0,127,,,,,0-based,,
Roland,MC-101,,Cutoff,,74,,0,127,,,,,0-based,,
Roland,MC-101,,Decay,,75,,0,127,,,,,0-based,,
Roland,MC-101,,VIB Rate,,76,,0,127,,,,,0-based,,
Roland,MC-101,,VIB Depth,,77,,0,127,,,,,0-based,,
Roland,MC-101,,VIB Dlay,,78,,0,127,,,,,0-based,,
Roland,MC-101,,Filter Knob,,80,,0,127,,,,,0-based,,
Roland,MC-101,,MOD Knob,,81,,0,127,,,,,0-based,,
Roland,MC-101,,FX Knob,,82,,0,127,,,,,0-based,,
Roland,MC-101,,Sound Knob,,83,,0,127,,,,,0-based,,
Roland,MC-101,,Reverb Send,,91,,0,127,,,,,0-based,,
Roland,MC-101,,Chorus Send,,92,,0,127,,,,,0-based,,
