manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,MC-2oh2,,Filter LFO Amount,,33,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter LFO Freq,,34,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter LFO Shape,,35,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter LFO Sync,,36,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter LFO DLY,,38,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter LFO Divider,,37,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter LFO Reset,,39,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Amount,,21,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr DLY,,22,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Attack,,23,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Decay,,24,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Sustain,,25,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Release,,26,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Loop,,27,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Adsr Invert,,28,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Accent Amount,,29,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Accent Attack,,30,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Accent Decay,,31,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Amount,,40,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr DLY,,41,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Attack,,42,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Decay,,43,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Sustain,,44,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Release,,45,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Loop,,46,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Adsr Invert,,47,,0,127,,,,,0-based,,
Roland,MC-2oh2,,MOD Accent,,48,,0,127,,,,,0-based,,
Roland,MC-2oh2,,MOD Filter Accent,,49,,0,127,,,,,0-based,,
Roland,MC-2oh2,,MOD Porta,,50,,0,127,,,,,0-based,,
Roland,MC-2oh2,,MOD Noise,,51,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Noise Amount,,52,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Noise Attack,,53,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Noise Decay,,54,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Noise Quality,,55,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Velocity Link,,60,,0,127,,,,,0-based,,
Roland,MC-2oh2,,PW Amount,,70,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Filter Amount,,74,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Clock Source,,102,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Clock Divider CH1,,103,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Clock Divider CH2,,104,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Clock Divider CH3,,105,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Clock Divider ALL CH,,107,,0,127,,,,,0-based,,
Roland,MC-2oh2,,Speaker ON OFF,,109,,0,127,,,,,0-based,,
