manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,SH-01A,General,Modulation,,1,,0,127,,,,,0-based,,
Roland,SH-01A,General,Portamento time,,5,,0,127,,,,,0-based,,
Roland,SH-01A,General,Expression pedal,,11,,0,127,,,,,0-based,,
Roland,SH-01A,General,Portament mode,,31,,0,127,,,,,0-based,,
Roland,SH-01A,General,Hold,,64,,0,127,,,,,0-based,,
Roland,SH-01A,General,Portamento,,65,,0,127,,,,,0-based,,
Roland,SH-01A,General,Tune,,76,,0,127,,,,,0-based,,
Roland,SH-01A,General,Transpose SW,,77,,0,127,,,,,0-based,,
Roland,SH-01A,General,Noise mode,,78,,0,127,,,,,0-based,,
Roland,SH-01A,General,Assign mode,,80,,0,127,,,,,0-based,,
Roland,SH-01A,LFO,LFO rate,,3,,0,127,,,,,0-based,,
Roland,SH-01A,LFO,LFO mode,,79,,0,127,,,,,0-based,,
Roland,SH-01A,LFO,LFO wave form,,12,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO modulation depth,,13,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO range,,14,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO pulse width,,15,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO PWM source,,16,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO mod sens,,17,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO bend depth,,18,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO PWM level,,19,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO saw level,,20,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO sub level,,21,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO sub type,,22,,0,127,,,,,0-based,,
Roland,SH-01A,Oscillator,VCO noise level,,23,,0,127,,,,,0-based,,
Roland,SH-01A,Filter,VCF envelope depth,,24,,0,127,,,,,0-based,,
Roland,SH-01A,Filter,VCF modulation depth,,25,,0,127,,,,,0-based,,
Roland,SH-01A,Filter,VCF key follow,,26,,0,127,,,,,0-based,,
Roland,SH-01A,Filter,VCF cutoff,,74,,0,127,,,,,0-based,,
Roland,SH-01A,Filter,VCF resonance,,71,,0,127,,,,,0-based,,
Roland,SH-01A,Filter,VCF bend depth,,27,,0,127,,,,,0-based,,
Roland,SH-01A,Ampifier,VCA envelope SW,,28,,0,127,,,,,0-based,,
Roland,SH-01A,Ampifier,VCA envelope mode,,29,,0,127,,,,,0-based,,
Roland,SH-01A,Envelope,Envelope attack,,73,,0,127,,,,,0-based,,
Roland,SH-01A,Envelope,Envelope sustain,,30,,0,127,,,,,0-based,,
Roland,SH-01A,Envelope,Envelope decay,,75,,0,127,,,,,0-based,,
Roland,SH-01A,Envelope,Envelope release,,72,,0,127,,,,,0-based,,
Roland,SH-01A,Chord voices,Chord voice 2 SW,,81,,0,127,,,,,0-based,,
Roland,SH-01A,Chord voices,Chord voice 3 SW,,82,,0,127,,,,,0-based,,
Roland,SH-01A,Chord voices,Chord voice 4 SW,,83,,0,127,,,,,0-based,,
Roland,SH-01A,Chord voices,Chord voice 2 key shift,,85,,0,127,,,,,0-based,,
Roland,SH-01A,Chord voices,Chord voice 3 key shift,,86,,0,127,,,,,0-based,,
Roland,SH-01A,Chord voices,Chord voice 4 key shift,,87,,0,127,,,,,0-based,,
