manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,SH-4d,,MOD,,1,,0,127,,,,,0-based,,
Roland,SH-4d,,Volume,,7,,0,127,,,,,0-based,,
Roland,SH-4d,,PAN,,11,,0,127,,,,,0-based,,
Roland,SH-4d,,Cutoff,,74,,0,127,,,,,0-based,,
Roland,SH-4d,,Reso,,71,,0,127,,,,,0-based,,
Roland,SH-4d,,Drive,,90,,0,127,,,,,0-based,,
Roland,SH-4d,,HPF Cutoff,,79,,0,127,,,,,0-based,,
Roland,SH-4d,,Filter ENV,,81,,0,127,,,,,0-based,,
Roland,SH-4d,,Filter KEY,,78,,0,127,,,,,0-based,,
Roland,SH-4d,,Filter Attack,,82,,0,127,,,,,0-based,,
Roland,SH-4d,,Filter Decay,,83,,0,127,,,,,0-based,,
Roland,SH-4d,,Filter Sustain,,28,,0,127,,,,,0-based,,
Roland,SH-4d,,Filter Release,,29,,0,127,,,,,0-based,,
Roland,SH-4d,,AMP Attack,,73,,0,127,,,,,0-based,,
Roland,SH-4d,,AMP Decay,,75,,0,127,,,,,0-based,,
Roland,SH-4d,,AMP Sustain,,31,,0,127,,,,,0-based,,
Roland,SH-4d,,AMP Release,,72,,0,127,,,,,0-based,,
Roland,SH-4d,,Pitch,,21,,0,127,,,,,0-based,,
Roland,SH-4d,,Timbre,,77,,0,127,,,,,0-based,,
Roland,SH-4d,,Slider1,,85,,0,127,,,,,0-based,,
Roland,SH-4d,,Slider2,,86,,0,127,,,,,0-based,,
Roland,SH-4d,,Slider3,,87,,0,127,,,,,0-based,,
Roland,SH-4d,,Slider4,,88,,0,127,,,,,0-based,,
Roland,SH-4d,,Portamento,,84,,0,127,,,,,0-based,,
Roland,SH-4d,,LFO Rate,,16,,0,127,,,,,0-based,,
Roland,SH-4d,,LFO Fade Time,,20,,0,127,,,,,0-based,,
Roland,SH-4d,,LFO Pitch,,18,,0,127,,,,,0-based,,
Roland,SH-4d,,LFO Filter,,19,,0,127,,,,,0-based,,
Roland,SH-4d,,LFO AMP,,80,,0,127,,,,,0-based,,
Roland,SH-4d,,Pedal Hold,,64,,0,127,,,,,0-based,,
Roland,SH-4d,,Sostenuto,,66,,0,127,,,,,0-based,,
