manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,Sound Canvas SD-50,General,Bank select MSB,,0,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Modulation,,1,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Portamento time,,5,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Data Entry MSB,,6,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Volume,,7,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Panpot,,10,,0,127,,,,,centered,,
Roland,Sound Canvas SD-50,General,Expression,,11,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 1,,16,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 2,,17,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 3,,18,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 4,,19,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Bank Select LSB,,32,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Data Entry LSB,,38,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Hold1,,64,,0,127,,,,,0-based,,0-63: OFF; 64-127: ON
Roland,Sound Canvas SD-50,General,Portamento,,65,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Sostenuto,,66,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Soft,,67,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Legato foot switch,,68,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Filter,Resonance,,71,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Envelope,Release time,,72,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Envelope,Attack time,,73,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Filter,Cutoff,,74,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Envelope,Decay time,,75,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Vibrato,Vibrato rate,,76,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Vibrato,Vibrato depth,,77,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Vibrato,Vibrato delay,,78,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 5,,80,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 6,,81,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Tone modification,Tone Modify 7,,82,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,Portamento control,,84,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Effects,Reverb,,91,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,Effects,Chorus,,93,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,RPN MSB,,100,,0,127,,,,,0-based,,
Roland,Sound Canvas SD-50,General,RPN LSB,,101,,0,127,,,,,0-based,,
