manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,TB-3,General,Pad Z,,1,,0,127,,,,,0-based,,
Roland,TB-3,General,(XY play) pad Y,,11,,0,127,,,,,0-based,,
Roland,TB-3,General,(Env mod) pad X,,12,,0,127,,,,,0-based,,
Roland,TB-3,General,(Env mod) pad Y,,13,,0,127,,,,,0-based,,
Roland,TB-3,General,Accent,,16,,0,127,,,,,0-based,,
Roland,TB-3,General,Effect,,17,,0,127,,,,,0-based,,
Roland,TB-3,General,Scatter type,,68,,0,127,,,,,0-based,,
Roland,TB-3,General,Scatter depth,,69,,0,127,,,,,0-based,,
Roland,TB-3,Filter,Resonance,,71,,0,127,,,,,0-based,,
Roland,TB-3,Filter,Cutoff,,74,,0,127,,,,,0-based,,
Roland,TB-3,General,Pattern slide,,102,,0,127,,,,,0-based,,
Roland,TB-3,General,Pattern accent,,103,,0,127,,,,,0-based,,
Roland,TB-3,General,Tuning,,104,,0,127,,,,,0-based,,
