manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Roland,TD-27,Controllers,Modulation,,1,,0,127,,,,,,,0-based,,
Roland,TD-27,Controllers,Breath Controller,,2,,0,127,,,,,,,0-based,,
Roland,TD-27,Controllers,Foot Controller,,4,,0,127,,,,,,,0-based,,
Roland,TD-27,Controllers,Expression,,11,,0,127,,,,,,,0-based,,
Roland,TD-27,Controllers,General Purpose Controller 1,,16,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 2,,17,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 3,,18,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 4,,19,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 5,,80,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 6,,81,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 7,,82,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,Controllers,General Purpose Controller 8,,83,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,TD-27,General,High Resolution Velocity Prefix,,88,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,All Sounds Off,,120,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,Reset All Controllers,,121,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,All Notes Off,,123,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,OMNI OFF,,124,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,OMNI ON,,125,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,MONO,,126,,0,127,,,,,,,0-based,,
Roland,TD-27,Mode Messages,POLY,,127,,0,127,,,,,,,0-based,,
