manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,TR-08,General,Accent,,71,,0,127,,,,,0-based,,
Roland,TR-08,Bass drum,Bass drum tune,,20,,0,127,,,,,0-based,,
Roland,TR-08,Bass drum,Bass drum tone,,21,,0,127,,,,,0-based,,
Roland,TR-08,Bass drum,Bass drum compression,,22,,0,127,,,,,0-based,,
Roland,TR-08,Bass drum,Bass drum decay,,23,,0,127,,,,,0-based,,
Roland,TR-08,Bass drum,Bass drum level,,24,,0,127,,,,,0-based,,
Roland,TR-08,Snare drum,Snare drum tone,,25,,0,127,,,,,0-based,,
Roland,TR-08,Snare drum,Snare drum snappy,,26,,0,127,,,,,0-based,,
Roland,TR-08,Snare drum,Snare drum compression,,27,,0,127,,,,,0-based,,
Roland,TR-08,Snare drum,Snare drum decay,,28,,0,127,,,,,0-based,,
Roland,TR-08,Snare drum,Snare drum level,,29,,0,127,,,,,0-based,,
Roland,TR-08,Low tom,Low tom tune,,46,,0,127,,,,,0-based,,
Roland,TR-08,Low tom,Low tom decay,,47,,0,127,,,,,0-based,,
Roland,TR-08,Low tom,Low tom level,,48,,0,127,,,,,0-based,,
Roland,TR-08,Mid tom,Mid tom tune,,49,,0,127,,,,,0-based,,
Roland,TR-08,Mid tom,Mid tom decay,,50,,0,127,,,,,0-based,,
Roland,TR-08,Mid tom,Mid tom level,,51,,0,127,,,,,0-based,,
Roland,TR-08,High tom,High tom tune,,52,,0,127,,,,,0-based,,
Roland,TR-08,High tom,High tom decay,,53,,0,127,,,,,0-based,,
Roland,TR-08,High tom,High tom level,,54,,0,127,,,,,0-based,,
Roland,TR-08,Rim shot,Rim shot tune,,55,,0,127,,,,,0-based,,
Roland,TR-08,Rim shot,Rim shot decay,,56,,0,127,,,,,0-based,,
Roland,TR-08,Rim shot,Rim shot level,,57,,0,127,,,,,0-based,,
Roland,TR-08,Hand clap,Hand clap tune,,58,,0,127,,,,,0-based,,
Roland,TR-08,Hand clap,Hand clap decay,,59,,0,127,,,,,0-based,,
Roland,TR-08,Hand clap,Hand clap level,,60,,0,127,,,,,0-based,,
Roland,TR-08,Closed hi hat,Closed hi hat tune,,61,,0,127,,,,,0-based,,
Roland,TR-08,Closed hi hat,Closed hi hat decay,,62,,0,127,,,,,0-based,,
Roland,TR-08,Closed hi hat,Closed hi hat level,,63,,0,127,,,,,0-based,,
Roland,TR-08,Open hi hat,Open hi hat tune,,80,,0,127,,,,,0-based,,
Roland,TR-08,Open hi hat,Open hi hat decay,,81,,0,127,,,,,0-based,,
Roland,TR-08,Open hi hat,Open hi hat level,,82,,0,127,,,,,0-based,,
Roland,TR-08,Cymbal,Cymbal tone,,83,,0,127,,,,,0-based,,
Roland,TR-08,Cymbal,Cymbal decay,,84,,0,127,,,,,0-based,,
Roland,TR-08,Cymbal,Cymbal level,,85,,0,127,,,,,0-based,,
Roland,TR-08,Cow bell,Cow bell tune,,86,,0,127,,,,,0-based,,
Roland,TR-08,Cow bell,Cow bell decay,,87,,0,127,,,,,0-based,,
Roland,TR-08,Cow bell,Cow bell level,,88,,0,127,,,,,0-based,,
